cid,name,attribute_change_value,arrtibute_change_rate,cost
30068,我是射手天赋,2:10:44100|2:1:472500|2:3:23625|2:5:22208,3:1:30|3:2:30,3000095:558
30069,我是射手天赋,2:10:44800|2:1:480000|2:3:24000|2:5:22560,3:1:30|3:2:30,3000095:558
30070,我是射手天赋,2:10:45500|2:1:487500|2:3:24375|2:5:22913,3:1:40|3:2:40,3000095:558
30071,我是射手天赋,2:10:46200|2:1:495000|2:3:24750|2:5:23265,3:1:40|3:2:40,3000095:636
30072,我是射手天赋,2:10:46900|2:1:502500|2:3:25125|2:5:23618,3:1:40|3:2:40,3000095:636
30073,我是射手天赋,2:10:47600|2:1:510000|2:3:25500|2:5:23970,3:1:40|3:2:40,3000095:642
30074,我是射手天赋,2:10:48300|2:1:517500|2:3:25875|2:5:24323,3:1:40|3:2:40,3000095:642
30075,我是射手天赋,2:10:49000|2:1:525000|2:3:26250|2:5:24675,3:1:50|3:2:50,3000095:642
30076,我是射手天赋,2:10:49700|2:1:532500|2:3:26625|2:5:25028,3:1:50|3:2:50,3000095:726
30077,我是射手天赋,2:10:50400|2:1:540000|2:3:27000|2:5:25380,3:1:50|3:2:50,3000095:726
30078,我是射手天赋,2:10:51100|2:1:547500|2:3:27375|2:5:25733,3:1:50|3:2:50,3000095:732
30079,我是射手天赋,2:10:51800|2:1:555000|2:3:27750|2:5:26085,3:1:50|3:2:50,3000095:732
30080,我是射手天赋,2:10:52500|2:1:562500|2:3:28125|2:5:26438,3:1:60|3:2:60,3000095:732
30081,我是射手天赋,2:10:53200|2:1:570000|2:3:28500|2:5:26790,3:1:60|3:2:60,3000095:800
30082,我是射手天赋,2:10:53900|2:1:577500|2:3:28875|2:5:27143,3:1:60|3:2:60,3000095:950
30083,我是射手天赋,2:10:54600|2:1:585000|2:3:29250|2:5:27495,3:1:60|3:2:60,3000095:1100
30084,我是射手天赋,2:10:55300|2:1:592500|2:3:29625|2:5:27848,3:1:60|3:2:60,3000095:1250
30085,我是射手天赋,2:10:56000|2:1:600000|2:3:30000|2:5:28200,3:1:70|3:2:70,3000095:1400
30086,我是射手天赋,2:10:56700|2:1:607500|2:3:30375|2:5:28553,3:1:70|3:2:70,3000095:1550
30087,我是射手天赋,2:10:57400|2:1:615000|2:3:30750|2:5:28905,3:1:70|3:2:70,3000095:1700
30088,我是射手天赋,2:10:58100|2:1:622500|2:3:31125|2:5:29258,3:1:70|3:2:70,3000095:1850
30089,我是射手天赋,2:10:58800|2:1:630000|2:3:31500|2:5:29610,3:1:70|3:2:70,3000095:2000
30090,我是射手天赋,2:10:59500|2:1:637500|2:3:31875|2:5:29963,3:1:80|3:2:80,3000095:2150
30091,我是射手天赋,2:10:60550|2:1:648750|2:3:32438|2:5:30491,3:1:80|3:2:80,3000095:2300
30092,我是射手天赋,2:10:61600|2:1:660000|2:3:33000|2:5:31020,3:1:80|3:2:80,3000095:2450
30093,我是射手天赋,2:10:62650|2:1:671250|2:3:33563|2:5:31549,3:1:80|3:2:80,3000095:2600
30094,我是射手天赋,2:10:63700|2:1:682500|2:3:34125|2:5:32078,3:1:80|3:2:80,3000095:2750
30095,我是射手天赋,2:10:64750|2:1:693750|2:3:34688|2:5:32606,3:1:90|3:2:90,3000095:2900
30096,我是射手天赋,2:10:65800|2:1:705000|2:3:35250|2:5:33135,3:1:90|3:2:90,3000095:3050
30097,我是射手天赋,2:10:66850|2:1:716250|2:3:35813|2:5:33664,3:1:90|3:2:90,3000095:3200
30098,我是射手天赋,2:10:67900|2:1:727500|2:3:36375|2:5:34193,3:1:90|3:2:90,3000095:3350
30099,我是射手天赋,2:10:68950|2:1:738750|2:3:36938|2:5:34721,3:1:90|3:2:90,3000095:3500
30100,我是射手天赋,2:10:70000|2:1:750000|2:3:37500|2:5:35250,3:1:100|3:2:100,3000095:3650
40000,我是法师天赋,2:7:0|2:1:0|2:3:0|2:5:0,,3000094:1152
40001,我是法师天赋,2:7:390|2:1:3750|2:3:188|2:5:176,,3000094:6
40002,我是法师天赋,2:7:780|2:1:7500|2:3:375|2:5:353,,3000094:6
40003,我是法师天赋,2:7:1170|2:1:11250|2:3:563|2:5:529,,3000094:6
40004,我是法师天赋,2:7:1560|2:1:15000|2:3:750|2:5:705,,3000094:6
40005,我是法师天赋,2:7:1950|2:1:18750|2:3:938|2:5:881,,3000094:6
40006,我是法师天赋,2:7:2340|2:1:22500|2:3:1125|2:5:1058,,3000094:6
40007,我是法师天赋,2:7:2730|2:1:26250|2:3:1313|2:5:1234,,3000094:12
40008,我是法师天赋,2:7:3120|2:1:30000|2:3:1500|2:5:1410,,3000094:12
40009,我是法师天赋,2:7:3510|2:1:33750|2:3:1688|2:5:1586,,3000094:12
40010,我是法师天赋,2:7:3900|2:1:37500|2:3:1875|2:5:1763,,3000094:12
40011,我是法师天赋,2:7:4290|2:1:41250|2:3:2063|2:5:1939,,3000094:12
40012,我是法师天赋,2:7:4680|2:1:45000|2:3:2250|2:5:2115,,3000094:24
40013,我是法师天赋,2:7:5070|2:1:48750|2:3:2438|2:5:2291,,3000094:24
40014,我是法师天赋,2:7:5460|2:1:52500|2:3:2625|2:5:2468,,3000094:24
40015,我是法师天赋,2:7:5850|2:1:56250|2:3:2813|2:5:2644,,3000094:24
40016,我是法师天赋,2:7:6240|2:1:60000|2:3:3000|2:5:2820,,3000094:24
40017,我是法师天赋,2:7:6630|2:1:63750|2:3:3188|2:5:2996,,3000094:42
40018,我是法师天赋,2:7:7020|2:1:67500|2:3:3375|2:5:3173,,3000094:42
40019,我是法师天赋,2:7:7410|2:1:71250|2:3:3563|2:5:3349,,3000094:42
40020,我是法师天赋,2:7:7800|2:1:75000|2:3:3750|2:5:3525,,3000094:42
40021,我是法师天赋,2:7:8424|2:1:81000|2:3:4050|2:5:3807,,3000094:42
40022,我是法师天赋,2:7:9048|2:1:87000|2:3:4350|2:5:4089,,3000094:66
40023,我是法师天赋,2:7:9672|2:1:93000|2:3:4650|2:5:4371,,3000094:66
40024,我是法师天赋,2:7:10296|2:1:99000|2:3:4950|2:5:4653,,3000094:66
40025,我是法师天赋,2:7:10920|2:1:105000|2:3:5250|2:5:4935,,3000094:66
40026,我是法师天赋,2:7:11544|2:1:111000|2:3:5550|2:5:5217,,3000094:66
40027,我是法师天赋,2:7:12168|2:1:117000|2:3:5850|2:5:5499,,3000094:96
40028,我是法师天赋,2:7:12792|2:1:123000|2:3:6150|2:5:5781,,3000094:96
40029,我是法师天赋,2:7:13416|2:1:129000|2:3:6450|2:5:6063,,3000094:102
40030,我是法师天赋,2:7:14040|2:1:135000|2:3:6750|2:5:6345,,3000094:102
40031,我是法师天赋,2:7:14976|2:1:144000|2:3:7200|2:5:6768,,3000094:102
40032,我是法师天赋,2:7:15912|2:1:153000|2:3:7650|2:5:7191,,3000094:132
40033,我是法师天赋,2:7:16848|2:1:162000|2:3:8100|2:5:7614,,3000094:132
40034,我是法师天赋,2:7:17784|2:1:171000|2:3:8550|2:5:8037,,3000094:138
40035,我是法师天赋,2:7:18720|2:1:180000|2:3:9000|2:5:8460,,3000094:138
40036,我是法师天赋,2:7:19656|2:1:189000|2:3:9450|2:5:8883,,3000094:138
40037,我是法师天赋,2:7:20592|2:1:198000|2:3:9900|2:5:9306,,3000094:174
40038,我是法师天赋,2:7:21528|2:1:207000|2:3:10350|2:5:9729,,3000094:174
40039,我是法师天赋,2:7:22464|2:1:216000|2:3:10800|2:5:10152,,3000094:180
40040,我是法师天赋,2:7:23400|2:1:225000|2:3:11250|2:5:10575,,3000094:180
40041,我是法师天赋,2:7:24570|2:1:236250|2:3:11813|2:5:11104,,3000094:180
40042,我是法师天赋,2:7:25740|2:1:247500|2:3:12375|2:5:11633,,3000094:222
40043,我是法师天赋,2:7:26910|2:1:258750|2:3:12938|2:5:12161,,3000094:222
40044,我是法师天赋,2:7:28080|2:1:270000|2:3:13500|2:5:12690,,3000094:228
40045,我是法师天赋,2:7:29250|2:1:281250|2:3:14063|2:5:13219,,3000094:228
40046,我是法师天赋,2:7:30420|2:1:292500|2:3:14625|2:5:13748,,3000094:228
40047,我是法师天赋,2:7:31590|2:1:303750|2:3:15188|2:5:14276,,3000094:276
40048,我是法师天赋,2:7:32760|2:1:315000|2:3:15750|2:5:14805,,3000094:276
40049,我是法师天赋,2:7:33930|2:1:326250|2:3:16313|2:5:15334,,3000094:282
40050,我是法师天赋,2:7:35100|2:1:337500|2:3:16875|2:5:15863,3:1:10|3:2:10,3000094:282
40051,我是法师天赋,2:7:35880|2:1:345000|2:3:17250|2:5:16215,3:1:10|3:2:10,3000094:282
40052,我是法师天赋,2:7:36660|2:1:352500|2:3:17625|2:5:16568,3:1:10|3:2:10,3000094:336
40053,我是法师天赋,2:7:37440|2:1:360000|2:3:18000|2:5:16920,3:1:10|3:2:10,3000094:336
40054,我是法师天赋,2:7:38220|2:1:367500|2:3:18375|2:5:17273,3:1:10|3:2:10,3000094:342
40055,我是法师天赋,2:7:39000|2:1:375000|2:3:18750|2:5:17625,3:1:10|3:2:10,3000094:342
40056,我是法师天赋,2:7:39780|2:1:382500|2:3:19125|2:5:17978,3:1:10|3:2:10,3000094:342
40057,我是法师天赋,2:7:40560|2:1:390000|2:3:19500|2:5:18330,3:1:10|3:2:10,3000094:402
40058,我是法师天赋,2:7:41340|2:1:397500|2:3:19875|2:5:18683,3:1:10|3:2:10,3000094:402
40059,我是法师天赋,2:7:42120|2:1:405000|2:3:20250|2:5:19035,3:1:10|3:2:10,3000094:408
40060,我是法师天赋,2:7:42900|2:1:412500|2:3:20625|2:5:19388,3:1:20|3:2:20,3000094:408
40061,我是法师天赋,2:7:43680|2:1:420000|2:3:21000|2:5:19740,3:1:20|3:2:20,3000094:474
40062,我是法师天赋,2:7:44460|2:1:427500|2:3:21375|2:5:20093,3:1:20|3:2:20,3000094:474
40063,我是法师天赋,2:7:45240|2:1:435000|2:3:21750|2:5:20445,3:1:20|3:2:20,3000094:480
40064,我是法师天赋,2:7:46020|2:1:442500|2:3:22125|2:5:20798,3:1:20|3:2:20,3000094:480
40065,我是法师天赋,2:7:46800|2:1:450000|2:3:22500|2:5:21150,3:1:30|3:2:30,3000094:480
40066,我是法师天赋,2:7:47580|2:1:457500|2:3:22875|2:5:21503,3:1:30|3:2:30,3000094:552
40067,我是法师天赋,2:7:48360|2:1:465000|2:3:23250|2:5:21855,3:1:30|3:2:30,3000094:552
40068,我是法师天赋,2:7:49140|2:1:472500|2:3:23625|2:5:22208,3:1:30|3:2:30,3000094:558
40069,我是法师天赋,2:7:49920|2:1:480000|2:3:24000|2:5:22560,3:1:30|3:2:30,3000094:558
40070,我是法师天赋,2:7:50700|2:1:487500|2:3:24375|2:5:22913,3:1:40|3:2:40,3000094:558
40071,我是法师天赋,2:7:51480|2:1:495000|2:3:24750|2:5:23265,3:1:40|3:2:40,3000094:636
40072,我是法师天赋,2:7:52260|2:1:502500|2:3:25125|2:5:23618,3:1:40|3:2:40,3000094:636
40073,我是法师天赋,2:7:53040|2:1:510000|2:3:25500|2:5:23970,3:1:40|3:2:40,3000094:642
40074,我是法师天赋,2:7:53820|2:1:517500|2:3:25875|2:5:24323,3:1:40|3:2:40,3000094:642
40075,我是法师天赋,2:7:54600|2:1:525000|2:3:26250|2:5:24675,3:1:50|3:2:50,3000094:642
40076,我是法师天赋,2:7:55380|2:1:532500|2:3:26625|2:5:25028,3:1:50|3:2:50,3000094:726
40077,我是法师天赋,2:7:56160|2:1:540000|2:3:27000|2:5:25380,3:1:50|3:2:50,3000094:726
40078,我是法师天赋,2:7:56940|2:1:547500|2:3:27375|2:5:25733,3:1:50|3:2:50,3000094:732
40079,我是法师天赋,2:7:57720|2:1:555000|2:3:27750|2:5:26085,3:1:50|3:2:50,3000094:732
40080,我是法师天赋,2:7:58500|2:1:562500|2:3:28125|2:5:26438,3:1:60|3:2:60,3000094:732
40081,我是法师天赋,2:7:59280|2:1:570000|2:3:28500|2:5:26790,3:1:60|3:2:60,3000094:800
40082,我是法师天赋,2:7:60060|2:1:577500|2:3:28875|2:5:27143,3:1:60|3:2:60,3000094:950
40083,我是法师天赋,2:7:60840|2:1:585000|2:3:29250|2:5:27495,3:1:60|3:2:60,3000094:1100
40084,我是法师天赋,2:7:61620|2:1:592500|2:3:29625|2:5:27848,3:1:60|3:2:60,3000094:1250
40085,我是法师天赋,2:7:62400|2:1:600000|2:3:30000|2:5:28200,3:1:70|3:2:70,3000094:1400
40086,我是法师天赋,2:7:63180|2:1:607500|2:3:30375|2:5:28553,3:1:70|3:2:70,3000094:1550
40087,我是法师天赋,2:7:63960|2:1:615000|2:3:30750|2:5:28905,3:1:70|3:2:70,3000094:1700
40088,我是法师天赋,2:7:64740|2:1:622500|2:3:31125|2:5:29258,3:1:70|3:2:70,3000094:1850
40089,我是法师天赋,2:7:65520|2:1:630000|2:3:31500|2:5:29610,3:1:70|3:2:70,3000094:2000
40090,我是法师天赋,2:7:66300|2:1:637500|2:3:31875|2:5:29963,3:1:80|3:2:80,3000094:2150
40091,我是法师天赋,2:7:67470|2:1:648750|2:3:32438|2:5:30491,3:1:80|3:2:80,3000094:2300
40092,我是法师天赋,2:7:68640|2:1:660000|2:3:33000|2:5:31020,3:1:80|3:2:80,3000094:2450
40093,我是法师天赋,2:7:69810|2:1:671250|2:3:33563|2:5:31549,3:1:80|3:2:80,3000094:2600
40094,我是法师天赋,2:7:70980|2:1:682500|2:3:34125|2:5:32078,3:1:80|3:2:80,3000094:2750
40095,我是法师天赋,2:7:72150|2:1:693750|2:3:34688|2:5:32606,3:1:90|3:2:90,3000094:2900
40096,我是法师天赋,2:7:73320|2:1:705000|2:3:35250|2:5:33135,3:1:90|3:2:90,3000094:3050
40097,我是法师天赋,2:7:74490|2:1:716250|2:3:35813|2:5:33664,3:1:90|3:2:90,3000094:3200
40098,我是法师天赋,2:7:75660|2:1:727500|2:3:36375|2:5:34193,3:1:90|3:2:90,3000094:3350
40099,我是法师天赋,2:7:76830|2:1:738750|2:3:36938|2:5:34721,3:1:90|3:2:90,3000094:3500
40100,我是法师天赋,2:7:78000|2:1:750000|2:3:37500|2:5:35250,3:1:100|3:2:100,3000094:3650
