dungeon_id,boss_monster_npc_id_list,normal_monster_npc_id_list,bg_path,name,map_id,reward
432,10864|10863,1207|1208,XieShenCangShenChu,15-12,15,
433,10866|10865,1207|1208,XieShenCangShenChu,15-13,15,
434,10868|10867,1207|1208,XieShenCangShenChu,15-14,15,
435,10870|10869,1207|1208,XieShenCangShenChu,15-15,15,1:2:100
436,10872|10871,1207|1208,XieShenCangShenChu,15-16,15,
437,10874|10873,1209|1210,XieShenCangShenChu,15-17,15,
438,10876|10875,1209|1210,XieShenCangShenChu,15-18,15,
439,10878|10877,1209|1210,XieShenCangShenChu,15-19,15,
440,10880|10879,1209|1210,XieShenCangShenChu,15-20,15,5:3000214:300
441,10882|10881,1209|1210,XieShenCangShenChu,15-21,15,
442,10884|10883,1209|1210,XieShenCangShenChu,15-22,15,
443,10886|10885,1211|1212,XieShenCangShenChu,15-23,15,
444,10888|10887,1211|1212,XieShenCangShenChu,15-24,15,
445,10890|10889,1211|1212,XieShenCangShenChu,15-25,15,1:2:200
446,10892|10891,1211|1212,XieShenCangShenChu,15-26,15,
447,10894|10893,1211|1212,XieShenCangShenChu,15-27,15,
448,10896|10895,1211|1212,XieShenCangShenChu,15-28,15,
449,10898|10897,1213|1214,XieShenCangShenChu,15-29,15,
450,10900|10899,1213|1214,XieShenCangShenChu,15-30,15,27:1001:1
451,10902|10901,1213|1214,ShenYuanZhiLv,16-1,16,
452,10904|10903,1213|1214,ShenYuanZhiLv,16-2,16,
453,10906|10905,1213|1214,ShenYuanZhiLv,16-3,16,
454,10908|10907,1213|1214,ShenYuanZhiLv,16-4,16,
455,10910|10909,1215|1216,ShenYuanZhiLv,16-5,16,1:2:100
456,10912|10911,1215|1216,ShenYuanZhiLv,16-6,16,
457,10914|10913,1215|1216,ShenYuanZhiLv,16-7,16,
458,10916|10915,1215|1216,ShenYuanZhiLv,16-8,16,
459,10918|10917,1215|1216,ShenYuanZhiLv,16-9,16,
460,10920|10919,1215|1216,ShenYuanZhiLv,16-10,16,5:3000214:200
461,10922|10921,1217|1218,ShenYuanZhiLv,16-11,16,
462,10924|10923,1217|1218,ShenYuanZhiLv,16-12,16,
463,10926|10925,1217|1218,ShenYuanZhiLv,16-13,16,
464,10928|10927,1217|1218,ShenYuanZhiLv,16-14,16,
465,10930|10929,1217|1218,ShenYuanZhiLv,16-15,16,1:2:100
466,10932|10931,1217|1218,ShenYuanZhiLv,16-16,16,
467,10934|10933,1219|1220,ShenYuanZhiLv,16-17,16,
468,10936|10935,1219|1220,ShenYuanZhiLv,16-18,16,
469,10938|10937,1219|1220,ShenYuanZhiLv,16-19,16,
470,10940|10939,1219|1220,ShenYuanZhiLv,16-20,16,5:3000214:300
471,10942|10941,1219|1220,ShenYuanZhiLv,16-21,16,
472,10944|10943,1219|1220,ShenYuanZhiLv,16-22,16,
473,10946|10945,1221|1222,ShenYuanZhiLv,16-23,16,
474,10948|10947,1221|1222,ShenYuanZhiLv,16-24,16,
475,10950|10949,1221|1222,ShenYuanZhiLv,16-25,16,1:2:200
476,10952|10951,1221|1222,ShenYuanZhiLv,16-26,16,
477,10954|10953,1221|1222,ShenYuanZhiLv,16-27,16,
478,10956|10955,1221|1222,ShenYuanZhiLv,16-28,16,
479,10958|10957,1223|1224,ShenYuanZhiLv,16-29,16,
480,10960|10959,1223|1224,ShenYuanZhiLv,16-30,16,5:3000027:1
481,10962|10961,1223|1224,PanDuoLaShenMiao,17-1,17,
482,10964|10963,1223|1224,PanDuoLaShenMiao,17-2,17,
483,10966|10965,1223|1224,PanDuoLaShenMiao,17-3,17,
484,10968|10967,1223|1224,PanDuoLaShenMiao,17-4,17,
485,10970|10969,1225|1226,PanDuoLaShenMiao,17-5,17,1:2:100
486,10972|10971,1225|1226,PanDuoLaShenMiao,17-6,17,
487,10974|10973,1225|1226,PanDuoLaShenMiao,17-7,17,
488,10976|10975,1225|1226,PanDuoLaShenMiao,17-8,17,
489,10978|10977,1225|1226,PanDuoLaShenMiao,17-9,17,
490,10980|10979,1225|1226,PanDuoLaShenMiao,17-10,17,5:3000214:200
491,10982|10981,1227|1228,PanDuoLaShenMiao,17-11,17,
492,10984|10983,1227|1228,PanDuoLaShenMiao,17-12,17,
493,10986|10985,1227|1228,PanDuoLaShenMiao,17-13,17,
494,10988|10987,1227|1228,PanDuoLaShenMiao,17-14,17,
495,10990|10989,1227|1228,PanDuoLaShenMiao,17-15,17,1:2:100
496,10992|10991,1227|1228,PanDuoLaShenMiao,17-16,17,
497,10994|10993,1229|1230,PanDuoLaShenMiao,17-17,17,
498,10996|10995,1229|1230,PanDuoLaShenMiao,17-18,17,
499,10998|10997,1229|1230,PanDuoLaShenMiao,17-19,17,
500,11000|10999,1229|1230,PanDuoLaShenMiao,17-20,17,5:3000214:300
501,11002|11001,1229|1230,PanDuoLaShenMiao,17-21,17,
502,11004|11003,1229|1230,PanDuoLaShenMiao,17-22,17,
503,11006|11005,1231|1232,PanDuoLaShenMiao,17-23,17,
504,11008|11007,1231|1232,PanDuoLaShenMiao,17-24,17,
505,11010|11009,1231|1232,PanDuoLaShenMiao,17-25,17,1:2:200
506,11012|11011,1231|1232,PanDuoLaShenMiao,17-26,17,
507,11014|11013,1231|1232,PanDuoLaShenMiao,17-27,17,
508,11016|11015,1231|1232,PanDuoLaShenMiao,17-28,17,
509,11018|11017,1233|1234,PanDuoLaShenMiao,17-29,17,
510,11020|11019,1233|1234,PanDuoLaShenMiao,17-30,17,5:3000027:1
511,11022|11021,1233|1234,RanShaoLianYu,18-1,18,
512,11024|11023,1233|1234,RanShaoLianYu,18-2,18,
513,11026|11025,1233|1234,RanShaoLianYu,18-3,18,
514,11028|11027,1233|1234,RanShaoLianYu,18-4,18,
515,11030|11029,1235|1236,RanShaoLianYu,18-5,18,1:2:100
516,11032|11031,1235|1236,RanShaoLianYu,18-6,18,
517,11034|11033,1235|1236,RanShaoLianYu,18-7,18,
518,11036|11035,1235|1236,RanShaoLianYu,18-8,18,
519,11038|11037,1235|1236,RanShaoLianYu,18-9,18,
520,11040|11039,1235|1236,RanShaoLianYu,18-10,18,5:3000214:200
521,11042|11041,1237|1238,RanShaoLianYu,18-11,18,
522,11044|11043,1237|1238,RanShaoLianYu,18-12,18,
523,11046|11045,1237|1238,RanShaoLianYu,18-13,18,
524,11048|11047,1237|1238,RanShaoLianYu,18-14,18,
525,11050|11049,1237|1238,RanShaoLianYu,18-15,18,1:2:100
526,11052|11051,1237|1238,RanShaoLianYu,18-16,18,
527,11054|11053,1239|1240,RanShaoLianYu,18-17,18,
528,11056|11055,1239|1240,RanShaoLianYu,18-18,18,
529,11058|11057,1239|1240,RanShaoLianYu,18-19,18,
530,11060|11059,1239|1240,RanShaoLianYu,18-20,18,5:3000214:300
531,11062|11061,1239|1240,RanShaoLianYu,18-21,18,
532,11064|11063,1239|1240,RanShaoLianYu,18-22,18,
533,11066|11065,1241|1242,RanShaoLianYu,18-23,18,
534,11068|11067,1241|1242,RanShaoLianYu,18-24,18,
535,11070|11069,1241|1242,RanShaoLianYu,18-25,18,1:2:200
536,11072|11071,1241|1242,RanShaoLianYu,18-26,18,
537,11074|11073,1241|1242,RanShaoLianYu,18-27,18,
538,11076|11075,1241|1242,RanShaoLianYu,18-28,18,
539,11078|11077,1243|1244,RanShaoLianYu,18-29,18,
540,11080|11079,1243|1244,RanShaoLianYu,18-30,18,5:3000027:1
541,11082|11081,1243|1244,ASiJiaDe,19-1,19,
542,11084|11083,1243|1244,ASiJiaDe,19-2,19,
543,11086|11085,1243|1244,ASiJiaDe,19-3,19,
544,11088|11087,1243|1244,ASiJiaDe,19-4,19,
545,11090|11089,1245|1246,ASiJiaDe,19-5,19,1:2:100
546,11092|11091,1245|1246,ASiJiaDe,19-6,19,
547,11094|11093,1245|1246,ASiJiaDe,19-7,19,
548,11096|11095,1245|1246,ASiJiaDe,19-8,19,
549,11098|11097,1245|1246,ASiJiaDe,19-9,19,
550,11100|11099,1245|1246,ASiJiaDe,19-10,19,5:3000214:200
551,11102|11101,1247|1248,ASiJiaDe,19-11,19,
552,11104|11103,1247|1248,ASiJiaDe,19-12,19,
553,11106|11105,1247|1248,ASiJiaDe,19-13,19,
554,11108|11107,1247|1248,ASiJiaDe,19-14,19,
555,11110|11109,1247|1248,ASiJiaDe,19-15,19,1:2:100
556,11112|11111,1247|1248,ASiJiaDe,19-16,19,
557,11114|11113,1249|1250,ASiJiaDe,19-17,19,
558,11116|11115,1249|1250,ASiJiaDe,19-18,19,
559,11118|11117,1249|1250,ASiJiaDe,19-19,19,
560,11120|11119,1249|1250,ASiJiaDe,19-20,19,5:3000214:300
561,11122|11121,1249|1250,ASiJiaDe,19-21,19,
562,11124|11123,1249|1250,ASiJiaDe,19-22,19,
563,11126|11125,1251|1252,ASiJiaDe,19-23,19,
564,11128|11127,1251|1252,ASiJiaDe,19-24,19,
565,11130|11129,1251|1252,ASiJiaDe,19-25,19,1:2:200
566,11132|11131,1251|1252,ASiJiaDe,19-26,19,
567,11134|11133,1251|1252,ASiJiaDe,19-27,19,
568,11136|11135,1251|1252,ASiJiaDe,19-28,19,
569,11138|11137,1253|1254,ASiJiaDe,19-29,19,
570,11140|11139,1253|1254,ASiJiaDe,19-30,19,5:3000027:1
571,11142|11141,1253|1254,ShiJieShu,20-1,20,
572,11144|11143,1253|1254,ShiJieShu,20-2,20,
573,11146|11145,1253|1254,ShiJieShu,20-3,20,
574,11148|11147,1253|1254,ShiJieShu,20-4,20,
575,11150|11149,1255|1256,ShiJieShu,20-5,20,1:2:100
576,11152|11151,1255|1256,ShiJieShu,20-6,20,
577,11154|11153,1255|1256,ShiJieShu,20-7,20,
578,11156|11155,1255|1256,ShiJieShu,20-8,20,
579,11158|11157,1255|1256,ShiJieShu,20-9,20,
580,11160|11159,1255|1256,ShiJieShu,20-10,20,5:3000214:200
581,11162|11161,1257|1258,ShiJieShu,20-11,20,
582,11164|11163,1257|1258,ShiJieShu,20-12,20,
583,11166|11165,1257|1258,ShiJieShu,20-13,20,
584,11168|11167,1257|1258,ShiJieShu,20-14,20,
585,11170|11169,1257|1258,ShiJieShu,20-15,20,1:2:100
586,11172|11171,1257|1258,ShiJieShu,20-16,20,
587,11174|11173,1259|1260,ShiJieShu,20-17,20,
588,11176|11175,1259|1260,ShiJieShu,20-18,20,
589,11178|11177,1259|1260,ShiJieShu,20-19,20,
590,11180|11179,1259|1260,ShiJieShu,20-20,20,5:3000214:300
591,11182|11181,1259|1260,ShiJieShu,20-21,20,
592,11184|11183,1259|1260,ShiJieShu,20-22,20,
593,11186|11185,1261|1262,ShiJieShu,20-23,20,
594,11188|11187,1261|1262,ShiJieShu,20-24,20,
595,11190|11189,1261|1262,ShiJieShu,20-25,20,1:2:200
596,11192|11191,1261|1262,ShiJieShu,20-26,20,
597,11194|11193,1261|1262,ShiJieShu,20-27,20,
598,11196|11195,1261|1262,ShiJieShu,20-28,20,
599,11198|11197,1263|1264,ShiJieShu,20-29,20,
600,11200|11199,1263|1264,ShiJieShu,20-30,20,27:1001:1
601,11202|11201,1263|1264,XueChengBao,21-1,21,
602,11204|11203,1263|1264,XueChengBao,21-2,21,
603,11206|11205,1263|1264,XueChengBao,21-3,21,
604,11208|11207,1263|1264,XueChengBao,21-4,21,
605,11210|11209,1265|1266,XueChengBao,21-5,21,1:2:100
606,11212|11211,1265|1266,XueChengBao,21-6,21,
607,11214|11213,1265|1266,XueChengBao,21-7,21,
608,11216|11215,1265|1266,XueChengBao,21-8,21,
609,11218|11217,1265|1266,XueChengBao,21-9,21,
610,11220|11219,1265|1266,XueChengBao,21-10,21,5:3000214:200
611,11222|11221,1267|1268,XueChengBao,21-11,21,
612,11224|11223,1267|1268,XueChengBao,21-12,21,
613,11226|11225,1267|1268,XueChengBao,21-13,21,
614,11228|11227,1267|1268,XueChengBao,21-14,21,
615,11230|11229,1267|1268,XueChengBao,21-15,21,1:2:100
616,11232|11231,1267|1268,XueChengBao,21-16,21,
617,11234|11233,1269|1270,XueChengBao,21-17,21,
618,11236|11235,1269|1270,XueChengBao,21-18,21,
619,11238|11237,1269|1270,XueChengBao,21-19,21,
620,11240|11239,1269|1270,XueChengBao,21-20,21,5:3000214:300
621,11242|11241,1269|1270,XueChengBao,21-21,21,
622,11244|11243,1269|1270,XueChengBao,21-22,21,
623,11246|11245,1271|1272,XueChengBao,21-23,21,
624,11248|11247,1271|1272,XueChengBao,21-24,21,
625,11250|11249,1271|1272,XueChengBao,21-25,21,1:2:200
626,11252|11251,1271|1272,XueChengBao,21-26,21,
627,11254|11253,1271|1272,XueChengBao,21-27,21,
628,11256|11255,1271|1272,XueChengBao,21-28,21,
629,11258|11257,1273|1274,XueChengBao,21-29,21,
630,11260|11259,1273|1274,XueChengBao,21-30,21,5:3000027:1
631,11262|11261,1273|1274,ShenYuanZhiLv,22-1,22,
632,11264|11263,1273|1274,ShenYuanZhiLv,22-2,22,
633,11266|11265,1273|1274,ShenYuanZhiLv,22-3,22,
634,11268|11267,1273|1274,ShenYuanZhiLv,22-4,22,
635,11270|11269,1275|1276,ShenYuanZhiLv,22-5,22,1:2:100
636,11272|11271,1275|1276,ShenYuanZhiLv,22-6,22,
637,11274|11273,1275|1276,ShenYuanZhiLv,22-7,22,
638,11276|11275,1275|1276,ShenYuanZhiLv,22-8,22,
639,11278|11277,1275|1276,ShenYuanZhiLv,22-9,22,
640,11280|11279,1275|1276,ShenYuanZhiLv,22-10,22,5:3000214:200
641,11282|11281,1277|1278,ShenYuanZhiLv,22-11,22,
642,11284|11283,1277|1278,ShenYuanZhiLv,22-12,22,
643,11286|11285,1277|1278,ShenYuanZhiLv,22-13,22,
644,11288|11287,1277|1278,ShenYuanZhiLv,22-14,22,
645,11290|11289,1277|1278,ShenYuanZhiLv,22-15,22,1:2:100
646,11292|11291,1277|1278,ShenYuanZhiLv,22-16,22,
647,11294|11293,1279|1280,ShenYuanZhiLv,22-17,22,
648,11296|11295,1279|1280,ShenYuanZhiLv,22-18,22,
649,11298|11297,1279|1280,ShenYuanZhiLv,22-19,22,
650,11300|11299,1279|1280,ShenYuanZhiLv,22-20,22,5:3000214:300
651,11302|11301,1279|1280,ShenYuanZhiLv,22-21,22,
652,11304|11303,1279|1280,ShenYuanZhiLv,22-22,22,
653,11306|11305,1281|1282,ShenYuanZhiLv,22-23,22,
654,11308|11307,1281|1282,ShenYuanZhiLv,22-24,22,
655,11310|11309,1281|1282,ShenYuanZhiLv,22-25,22,1:2:200
656,11312|11311,1281|1282,ShenYuanZhiLv,22-26,22,
657,11314|11313,1281|1282,ShenYuanZhiLv,22-27,22,
658,11316|11315,1281|1282,ShenYuanZhiLv,22-28,22,
659,11318|11317,1283|1284,ShenYuanZhiLv,22-29,22,
660,11320|11319,1283|1284,ShenYuanZhiLv,22-30,22,5:3000027:1
661,11322|11321,1283|1284,KunLunTianGong,23-1,23,
662,11324|11323,1283|1284,KunLunTianGong,23-2,23,
663,11326|11325,1283|1284,KunLunTianGong,23-3,23,
664,11328|11327,1283|1284,KunLunTianGong,23-4,23,
665,11330|11329,1285|1286,KunLunTianGong,23-5,23,1:2:100
666,11332|11331,1285|1286,KunLunTianGong,23-6,23,
667,11334|11333,1285|1286,KunLunTianGong,23-7,23,
668,11336|11335,1285|1286,KunLunTianGong,23-8,23,
669,11338|11337,1285|1286,KunLunTianGong,23-9,23,
670,11340|11339,1285|1286,KunLunTianGong,23-10,23,5:3000214:200
671,11342|11341,1287|1288,KunLunTianGong,23-11,23,
672,11344|11343,1287|1288,KunLunTianGong,23-12,23,
673,11346|11345,1287|1288,KunLunTianGong,23-13,23,
674,11348|11347,1287|1288,KunLunTianGong,23-14,23,
675,11350|11349,1287|1288,KunLunTianGong,23-15,23,1:2:100
676,11352|11351,1287|1288,KunLunTianGong,23-16,23,
677,11354|11353,1289|1290,KunLunTianGong,23-17,23,
678,11356|11355,1289|1290,KunLunTianGong,23-18,23,
679,11358|11357,1289|1290,KunLunTianGong,23-19,23,
680,11360|11359,1289|1290,KunLunTianGong,23-20,23,5:3000214:300
681,11362|11361,1289|1290,KunLunTianGong,23-21,23,
682,11364|11363,1289|1290,KunLunTianGong,23-22,23,
683,11366|11365,1291|1292,KunLunTianGong,23-23,23,
684,11368|11367,1291|1292,KunLunTianGong,23-24,23,
685,11370|11369,1291|1292,KunLunTianGong,23-25,23,1:2:200
686,11372|11371,1291|1292,KunLunTianGong,23-26,23,
687,11374|11373,1291|1292,KunLunTianGong,23-27,23,
688,11376|11375,1291|1292,KunLunTianGong,23-28,23,
689,11378|11377,1293|1294,KunLunTianGong,23-29,23,
690,11380|11379,1293|1294,KunLunTianGong,23-30,23,5:3000027:1
691,11382|11381,1293|1294,DaJinZiTa,24-1,24,
692,11384|11383,1293|1294,DaJinZiTa,24-2,24,
693,11386|11385,1293|1294,DaJinZiTa,24-3,24,
694,11388|11387,1293|1294,DaJinZiTa,24-4,24,
695,11390|11389,1295|1296,DaJinZiTa,24-5,24,1:2:100
696,11392|11391,1295|1296,DaJinZiTa,24-6,24,
697,11394|11393,1295|1296,DaJinZiTa,24-7,24,
698,11396|11395,1295|1296,DaJinZiTa,24-8,24,
699,11398|11397,1295|1296,DaJinZiTa,24-9,24,
700,11400|11399,1295|1296,DaJinZiTa,24-10,24,5:3000214:200
701,11402|11401,1297|1298,DaJinZiTa,24-11,24,
702,11404|11403,1297|1298,DaJinZiTa,24-12,24,
703,11406|11405,1297|1298,DaJinZiTa,24-13,24,
704,11408|11407,1297|1298,DaJinZiTa,24-14,24,
705,11410|11409,1297|1298,DaJinZiTa,24-15,24,1:2:100
706,11412|11411,1297|1298,DaJinZiTa,24-16,24,
707,11414|11413,1299|1300,DaJinZiTa,24-17,24,
708,11416|11415,1299|1300,DaJinZiTa,24-18,24,
709,11418|11417,1299|1300,DaJinZiTa,24-19,24,
710,11420|11419,1299|1300,DaJinZiTa,24-20,24,5:3000214:300
711,11422|11421,1299|1300,DaJinZiTa,24-21,24,
712,11424|11423,1299|1300,DaJinZiTa,24-22,24,
713,11426|11425,1301|1302,DaJinZiTa,24-23,24,
714,11428|11427,1301|1302,DaJinZiTa,24-24,24,
715,11430|11429,1301|1302,DaJinZiTa,24-25,24,1:2:200
716,11432|11431,1301|1302,DaJinZiTa,24-26,24,
717,11434|11433,1301|1302,DaJinZiTa,24-27,24,
718,11436|11435,1301|1302,DaJinZiTa,24-28,24,
719,11438|11437,1303|1304,DaJinZiTa,24-29,24,
720,11440|11439,1303|1304,DaJinZiTa,24-30,24,5:3000027:1
721,11442|11441,1303|1304,ShenZhiXiaGu,25-1,25,
722,11444|11443,1303|1304,ShenZhiXiaGu,25-2,25,
723,11446|11445,1303|1304,ShenZhiXiaGu,25-3,25,
724,11448|11447,1303|1304,ShenZhiXiaGu,25-4,25,
725,11450|11449,1305|1306,ShenZhiXiaGu,25-5,25,1:2:100
726,11452|11451,1305|1306,ShenZhiXiaGu,25-6,25,
727,11454|11453,1305|1306,ShenZhiXiaGu,25-7,25,
728,11456|11455,1305|1306,ShenZhiXiaGu,25-8,25,
729,11458|11457,1305|1306,ShenZhiXiaGu,25-9,25,
730,11460|11459,1305|1306,ShenZhiXiaGu,25-10,25,5:3000214:200
731,11462|11461,1307|1308,ShenZhiXiaGu,25-11,25,
732,11464|11463,1307|1308,ShenZhiXiaGu,25-12,25,
733,11466|11465,1307|1308,ShenZhiXiaGu,25-13,25,
734,11468|11467,1307|1308,ShenZhiXiaGu,25-14,25,
735,11470|11469,1307|1308,ShenZhiXiaGu,25-15,25,1:2:100
736,11472|11471,1307|1308,ShenZhiXiaGu,25-16,25,
737,11474|11473,1309|1310,ShenZhiXiaGu,25-17,25,
738,11476|11475,1309|1310,ShenZhiXiaGu,25-18,25,
739,11478|11477,1309|1310,ShenZhiXiaGu,25-19,25,
740,11480|11479,1309|1310,ShenZhiXiaGu,25-20,25,5:3000214:300
741,11482|11481,1309|1310,ShenZhiXiaGu,25-21,25,
742,11484|11483,1309|1310,ShenZhiXiaGu,25-22,25,
743,11486|11485,1311|1312,ShenZhiXiaGu,25-23,25,
744,11488|11487,1311|1312,ShenZhiXiaGu,25-24,25,
745,11490|11489,1311|1312,ShenZhiXiaGu,25-25,25,1:2:200
746,11492|11491,1311|1312,ShenZhiXiaGu,25-26,25,
747,11494|11493,1311|1312,ShenZhiXiaGu,25-27,25,
748,11496|11495,1311|1312,ShenZhiXiaGu,25-28,25,
749,11498|11497,1313|1314,ShenZhiXiaGu,25-29,25,
750,11500|11499,1313|1314,ShenZhiXiaGu,25-30,25,27:1001:1
751,11502|11501,1313|1314,XieShenCangShenChu,26-1,26,
752,11504|11503,1313|1314,XieShenCangShenChu,26-2,26,
753,11506|11505,1313|1314,XieShenCangShenChu,26-3,26,
754,11508|11507,1313|1314,XieShenCangShenChu,26-4,26,
755,11510|11509,1315|1316,XieShenCangShenChu,26-5,26,1:2:100
756,11512|11511,1315|1316,XieShenCangShenChu,26-6,26,
757,11514|11513,1315|1316,XieShenCangShenChu,26-7,26,
758,11516|11515,1315|1316,XieShenCangShenChu,26-8,26,
759,11518|11517,1315|1316,XieShenCangShenChu,26-9,26,
760,11520|11519,1315|1316,XieShenCangShenChu,26-10,26,5:3000214:200
761,11522|11521,1317|1318,XieShenCangShenChu,26-11,26,
762,11524|11523,1317|1318,XieShenCangShenChu,26-12,26,
763,11526|11525,1317|1318,XieShenCangShenChu,26-13,26,
764,11528|11527,1317|1318,XieShenCangShenChu,26-14,26,
765,11530|11529,1317|1318,XieShenCangShenChu,26-15,26,1:2:100
766,11532|11531,1317|1318,XieShenCangShenChu,26-16,26,
767,11534|11533,1319|1320,XieShenCangShenChu,26-17,26,
768,11536|11535,1319|1320,XieShenCangShenChu,26-18,26,
769,11538|11537,1319|1320,XieShenCangShenChu,26-19,26,
770,11540|11539,1319|1320,XieShenCangShenChu,26-20,26,5:3000214:300
771,11542|11541,1319|1320,XieShenCangShenChu,26-21,26,
772,11544|11543,1319|1320,XieShenCangShenChu,26-22,26,
773,11546|11545,1321|1322,XieShenCangShenChu,26-23,26,
774,11548|11547,1321|1322,XieShenCangShenChu,26-24,26,
775,11550|11549,1321|1322,XieShenCangShenChu,26-25,26,1:2:200
776,11552|11551,1321|1322,XieShenCangShenChu,26-26,26,
777,11554|11553,1321|1322,XieShenCangShenChu,26-27,26,
778,11556|11555,1321|1322,XieShenCangShenChu,26-28,26,
779,11558|11557,1323|1324,XieShenCangShenChu,26-29,26,
780,11560|11559,1323|1324,XieShenCangShenChu,26-30,26,5:3000027:5
781,11562|11561,1323|1324,RanShaoLianYu,27-1,27,
782,11564|11563,1323|1324,RanShaoLianYu,27-2,27,
783,11566|11565,1323|1324,RanShaoLianYu,27-3,27,
784,11568|11567,1323|1324,RanShaoLianYu,27-4,27,
785,11570|11569,1325|1326,RanShaoLianYu,27-5,27,1:2:100
786,11572|11571,1325|1326,RanShaoLianYu,27-6,27,
787,11574|11573,1325|1326,RanShaoLianYu,27-7,27,
788,11576|11575,1325|1326,RanShaoLianYu,27-8,27,
789,11578|11577,1325|1326,RanShaoLianYu,27-9,27,
790,11580|11579,1325|1326,RanShaoLianYu,27-10,27,5:3000214:200
791,11582|11581,1327|1328,RanShaoLianYu,27-11,27,
792,11584|11583,1327|1328,RanShaoLianYu,27-12,27,
793,11586|11585,1327|1328,RanShaoLianYu,27-13,27,
794,11588|11587,1327|1328,RanShaoLianYu,27-14,27,
795,11590|11589,1327|1328,RanShaoLianYu,27-15,27,1:2:100
796,11592|11591,1327|1328,RanShaoLianYu,27-16,27,
797,11594|11593,1329|1330,RanShaoLianYu,27-17,27,
798,11596|11595,1329|1330,RanShaoLianYu,27-18,27,
799,11598|11597,1329|1330,RanShaoLianYu,27-19,27,
800,11600|11599,1329|1330,RanShaoLianYu,27-20,27,5:3000214:300
801,11602|11601,1329|1330,RanShaoLianYu,27-21,27,
802,11604|11603,1329|1330,RanShaoLianYu,27-22,27,
803,11606|11605,1331|1332,RanShaoLianYu,27-23,27,
804,11608|11607,1331|1332,RanShaoLianYu,27-24,27,
805,11610|11609,1331|1332,RanShaoLianYu,27-25,27,1:2:200
806,11612|11611,1331|1332,RanShaoLianYu,27-26,27,
807,11614|11613,1331|1332,RanShaoLianYu,27-27,27,
808,11616|11615,1331|1332,RanShaoLianYu,27-28,27,
809,11618|11617,1333|1334,RanShaoLianYu,27-29,27,
810,11620|11619,1333|1334,RanShaoLianYu,27-30,27,5:3000027:5
811,11622|11621,1333|1334,XueChengBao,28-1,28,
812,11624|11623,1333|1334,XueChengBao,28-2,28,
813,11626|11625,1333|1334,XueChengBao,28-3,28,
814,11628|11627,1333|1334,XueChengBao,28-4,28,
815,11630|11629,1335|1336,XueChengBao,28-5,28,1:2:100
816,11632|11631,1335|1336,XueChengBao,28-6,28,
817,11634|11633,1335|1336,XueChengBao,28-7,28,
818,11636|11635,1335|1336,XueChengBao,28-8,28,
819,11638|11637,1335|1336,XueChengBao,28-9,28,
820,11640|11639,1335|1336,XueChengBao,28-10,28,5:3000214:200
821,11642|11641,1337|1338,XueChengBao,28-11,28,
822,11644|11643,1337|1338,XueChengBao,28-12,28,
823,11646|11645,1337|1338,XueChengBao,28-13,28,
824,11648|11647,1337|1338,XueChengBao,28-14,28,
825,11650|11649,1337|1338,XueChengBao,28-15,28,1:2:100
826,11652|11651,1337|1338,XueChengBao,28-16,28,
827,11654|11653,1339|1340,XueChengBao,28-17,28,
828,11656|11655,1339|1340,XueChengBao,28-18,28,
829,11658|11657,1339|1340,XueChengBao,28-19,28,
830,11660|11659,1339|1340,XueChengBao,28-20,28,5:3000214:300
831,11662|11661,1339|1340,XueChengBao,28-21,28,
832,11664|11663,1339|1340,XueChengBao,28-22,28,
833,11666|11665,1341|1342,XueChengBao,28-23,28,
834,11668|11667,1341|1342,XueChengBao,28-24,28,
835,11670|11669,1341|1342,XueChengBao,28-25,28,1:2:200
836,11672|11671,1341|1342,XueChengBao,28-26,28,
837,11674|11673,1341|1342,XueChengBao,28-27,28,
838,11676|11675,1341|1342,XueChengBao,28-28,28,
839,11678|11677,1343|1344,XueChengBao,28-29,28,
840,11680|11679,1343|1344,XueChengBao,28-30,28,5:3000027:5
841,11682|11681,1343|1344,NvWaQinGong,29-1,29,
842,11684|11683,1343|1344,NvWaQinGong,29-2,29,
843,11686|11685,1343|1344,NvWaQinGong,29-3,29,
844,11688|11687,1343|1344,NvWaQinGong,29-4,29,
845,11690|11689,1345|1346,NvWaQinGong,29-5,29,1:2:100
846,11692|11691,1345|1346,NvWaQinGong,29-6,29,
847,11694|11693,1345|1346,NvWaQinGong,29-7,29,
848,11696|11695,1345|1346,NvWaQinGong,29-8,29,
849,11698|11697,1345|1346,NvWaQinGong,29-9,29,
850,11700|11699,1345|1346,NvWaQinGong,29-10,29,5:3000214:200
851,11702|11701,1347|1348,NvWaQinGong,29-11,29,
852,11704|11703,1347|1348,NvWaQinGong,29-12,29,
853,11706|11705,1347|1348,NvWaQinGong,29-13,29,
854,11708|11707,1347|1348,NvWaQinGong,29-14,29,
855,11710|11709,1347|1348,NvWaQinGong,29-15,29,1:2:100
856,11712|11711,1347|1348,NvWaQinGong,29-16,29,
857,11714|11713,1349|1350,NvWaQinGong,29-17,29,
858,11716|11715,1349|1350,NvWaQinGong,29-18,29,
859,11718|11717,1349|1350,NvWaQinGong,29-19,29,
860,11720|11719,1349|1350,NvWaQinGong,29-20,29,5:3000214:300
861,11722|11721,1349|1350,NvWaQinGong,29-21,29,
862,11724|11723,1349|1350,NvWaQinGong,29-22,29,
863,11726|11725,1351|1352,NvWaQinGong,29-23,29,
864,11728|11727,1351|1352,NvWaQinGong,29-24,29,
865,11730|11729,1351|1352,NvWaQinGong,29-25,29,1:2:200
