box_name,box_type,need_condition,unlock_condition,reward
C35-M1-G1-r6,2,1,7249|7251|7278|7277|7275|7274,5:4000065:5|1:2:500
C35-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C35-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C35-M1-G1-r9,1,0,0,5:6000001:5
C36-M1-G1-r1,2,0,0,5:4000066:5|1:2:500
C36-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C36-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C36-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C36-M1-G1-r2,2,0,0,5:4000066:5|1:2:500
C36-M1-G1-r3,2,0,0,5:4000066:5|1:2:500
C36-M1-G1-r4,2,0,0,5:4000066:5|1:2:500
C36-M1-G1-r5,2,1,7368|7342|7370|7344|7345,5:4000066:5|1:2:500
C36-M1-G1-r6,2,1,7465|7466|7468|7469,5:4000066:5|1:2:500
C36-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C36-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C36-M1-G1-r9,1,0,0,5:6000001:5
C37-M1-G1-r1,2,0,0,5:4000067:5|1:2:500
C37-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C37-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C37-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C37-M1-G1-r2,2,0,0,5:4000067:5|1:2:500
C37-M1-G1-r3,2,0,0,5:4000067:5|1:2:500
C37-M1-G1-r4,2,0,0,5:4000067:5|1:2:500
C37-M1-G1-r5,2,1,7509|7536|7538|7513|7512|7510,5:4000067:5|1:2:500
C37-M1-G1-r6,2,1,7620|7622|7648|7646,5:4000067:5|1:2:500
C37-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C37-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C37-M1-G1-r9,1,0,0,5:6000001:5
C38-M1-G1-r1,2,0,0,5:4000068:5|1:2:500
C38-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C38-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C38-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C38-M1-G1-r2,2,0,0,5:4000068:5|1:2:500
C38-M1-G1-r3,2,0,0,5:4000068:5|1:2:500
C38-M1-G1-r4,2,0,0,5:4000068:5|1:2:500
C38-M1-G1-r5,2,1,7757|7755|7780|7781|7783|7784,5:4000068:5|1:2:500
C38-M1-G1-r6,2,1,7849|7877|7874|7875,5:4000068:5|1:2:500
C38-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C38-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C38-M1-G1-r9,1,0,0,5:6000001:5
C39-M1-G1-r1,2,0,0,5:4000069:5|1:2:500
C39-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C39-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C39-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C39-M1-G1-r2,2,0,0,5:4000069:5|1:2:500
C39-M1-G1-r3,2,0,0,5:4000069:5|1:2:500
C39-M1-G1-r4,2,0,0,5:4000069:5|1:2:500
C39-M1-G1-r5,2,1,7930|7932|7907|7906,5:4000069:5|1:2:500
C39-M1-G1-r6,2,1,8059|8057|8082|8083|8085,5:4000069:5|1:2:500
C39-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C39-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C39-M1-G1-r9,1,0,0,5:6000001:5
