bid,buff_anim,buff_trigger_anim,name,icon,info,stack_count_max
117101211,,,奉献-魂火献祭,FengXian,受到攻击后治疗除自己外所有友军,0
117102211,,,愈合-星象流转,YuHe,每回合恢复一定血量,0
127101111,,,激昂-星魂献祭,JiAng,3回合伤害、治疗效果、物抗、魔抗增加40%,0
127101211,,,奉献-星魂献祭,FengXian,受到攻击后治疗除自己外所有友军,0
127101311,,,奉献-星魂献祭,FengXian,韧性提高100%,0
127102211,,,愈合-斗转星移,YuHe,每回合恢复一定血量,0
137101211,,,奉献-魂火献祭,FengXian,受到攻击后治疗除自己外所有友军,0
137102211,,,愈合-星象流转,YuHe,每回合恢复一定血量,0
147101211,,,奉献-星魂献祭,FengXian,受到攻击后治疗除自己外所有友军,0
147102211,,,愈合-斗转星移,YuHe,每回合恢复一定血量,0
117301111,,,睡眠-沉溺噩梦,ShuiMian,无法行动，受到伤害后将会解除,0
127301111,,,睡眠-深渊噩梦,ShuiMian,无法行动，受到伤害后将会解除,0
127302111,,,睡眠-夺魄之瞳,ShuiMian,无法行动，受到伤害后将会解除,0
137301111,,,睡眠-沉溺噩梦,ShuiMian,无法行动，受到伤害后将会解除,0
147301111,,,睡眠-深渊噩梦,ShuiMian,无法行动，受到伤害后将会解除,0
117401111,,,魅惑-迷乱魔纹,MeiHuo,分摊伤害，回复生命效果降低,0
117401112,,,魅惑-迷乱魔纹（隐藏）,,,0
127401111,,,魅惑-狂乱烙印,MeiHuo,分摊伤害，回复生命效果降低,0
127401112,,,魅惑-狂乱烙印（隐藏）,,,0
127402113,,,神眷-神佑之吻,ShenJuan,抵挡一次伤害,0
127402114,,,神眷-神佑之吻,ShenJuan,免疫异常效果,0
137402113,,,护盾,,,0
137401111,,,魅惑-迷乱魔纹,MeiHuo,分摊伤害，回复生命效果降低,0
137401112,,,魅惑-迷乱魔纹（隐藏）,,,0
147401111,,,魅惑-狂乱烙印,MeiHuo,分摊伤害，回复生命效果降低,0
147401112,,,魅惑-狂乱烙印（隐藏）,,,0
117501112,,,神王-闪电力场,ShenWang,每回合自动攻击全体敌人,0
127501113,,,神王-雷霆圣域,ShenWang,每回合自动攻击全体敌人,0
127501115,,,雷盾-雷霆圣域,LeiDun,受到伤害反击敌人,0
137501112,,,神王-闪电力场,ShenWang,每回合自动攻击全体敌人,0
147501113,,,神王-雷霆圣域,ShenWang,每回合自动攻击全体敌人,0
117601211,,,致盲-幻影迷心,ZhiMang,命中值降低,0
117601311,,,隐身-幻影迷心,YinShen,不会被单体技能选中,0
127601211,,,致盲-神隐之术,ZhiMang,命中值降低,0
127601311,,,隐身-神隐之术,YinShen,不会被单体技能选中，闪避率增加,0
127602000,,,骰子特效,,,0
127701211,,,神力-雷神之力,ShenLi,增加30%攻击力，50%异常抵抗，300点防御穿透,2
137702211,,,感电-雷霆万钧,GanDian,受到伤害增加50%，回复生命效果降低50%,0
147702211,,,感电-雷暴领域,GanDian,受到伤害增加50%，回复生命效果降低50%,0
117801211,,,烈焰-烈阳普照,ZhuoShao,每回合造成一定伤害，持续4回合,0
127801211,,,护盾-太阳神力,,,0
127801311,,,烈焰-太阳神力,ZhuoShao,每回合造成一定伤害，持续4回合,0
137801211,,,烈焰-烈阳普照,ZhuoShao,每回合造成一定伤害，持续6回合,0
137802311,,,烈焰-终结之箭,ZhuoShao,每回合造成一定伤害，不可驱散，持续2回合,0
147801311,,,烈焰-太阳神力,ZhuoShao,每回合造成一定伤害，持续6回合,0
147802311,,,烈焰-弑神之箭,ZhuoShao,每回合造成一定伤害，不可驱散，持续2回合,0
117901211,,,护盾-旋樱舞步,,1回合增加樱花妖最大攻击100%的不可驱散护盾,0
117902211,,,护盾-樱花飞舞,,1回合增加樱花妖最大攻击70%的不可驱散护盾,0
117902311,,,蓄力-樱花飞舞,XuLi,2回合内【蓄力】，攻击力增加樱花妖攻击力的50%,0
118001111,,,祈福-幸运祈福,QiFu,攻击力增加40%，伤害增加40%,0
118101211,,,审判-审判之爪,ShenPan,被击杀时使击杀者攻击力降低荷鲁斯最大攻击力的15%,0
118101311,,,虚弱-审判之爪,XuRuo,攻击力降低荷鲁斯攻击力的15%,3
118101411,,,伤害降低,ShenYuan,伤害降低,0
128101211,,,审判-神罚之爪,ShenPan,被击杀时使击杀者攻击力降低荷鲁斯最大攻击力的20%,0
128101311,,,虚弱-神罚之爪,XuRuo,攻击力降低荷鲁斯攻击力的20%,5
128101411,,,伤害降低,ShenYuan,伤害降低,0
128102011,,,转护盾,,,0
128102211,,,护盾,,,0
138101211,,,审判-审判之爪,ShenPan,被击杀时使击杀者攻击力降低荷鲁斯最大攻击力的15%和自身攻击力的5%,0
138101311,,,虚弱-审判之爪,XuRuo,攻击力降低荷鲁斯攻击力的15%和自身攻击力5%,3
138102311,,,护盾,,,0
148101211,,,审判-神罚之爪,ShenPan,被击杀时使击杀者攻击力降低荷鲁斯最大攻击力的20%和自身攻击力的5%,0
148101311,,,虚弱-神罚之爪,XuRuo,攻击力降低荷鲁斯攻击力的20%和自身攻击力的5%,5
148102011,,,转护盾,,,0
148102211,,,护盾,,,0
148102311,,,护盾,,,0
158101111,,,复仇-复仇天神,FuChou,死亡时，会进入灵魂状态,0
158102111,,,复仇-属性加成,,属性增加,0
158102211,FCTS_hit,,流血,,,0
118201111,,,中毒-荆棘毒刺,ZhongDu,2回合每回合损失3%的当前生命值,0
118201211,,,燃烧-荆棘毒刺,RanShao,2回合每回合损失4%的当前生命值,0
118201311,,,破甲-荆棘毒刺,PoJia,2回合防御力降低50%,0
118201411,,,击破-荆棘毒刺,JiPo,2回合物抗、魔抗降低50%,0
118201511,,,流血-荆棘毒刺,LiuXue,2回合无法回复生命值,0
128201111,,,中毒-荆棘圆舞曲,ZhongDu,2回合每回合损失3%的当前生命值,0
128201211,,,燃烧-荆棘圆舞曲,RanShao,2回合每回合损失4%的当前生命值,0
128201311,,,破甲-荆棘圆舞曲,PoJia,2回合防御力降低50%,0
128201411,,,击破-荆棘圆舞曲,JiPo,2回合物抗、魔抗降低50%,0
128201511,,,流血-荆棘圆舞曲,LiuXue,2回合无法回复生命值,0
128201611,,,眩晕-荆棘圆舞曲,YunXuan,1回合无法行动,0
128201711,,,冰冻-荆棘圆舞曲,BingDong,1回合冰冻，无法行动,0
138201011,,,无视异抗,,,0
138202211,,,护盾,,,0
158201111,,,孤立-寂灭心牢,GuLi,无法获得增益状态,0
158202111,,,脆弱-寂灭心牢,CuiRuo,每层受到伤害增加1%,999
55551102,,,眩晕-威慑,YunXuan,1回合无法行动,0
55551212,,,战争,,反伤增加70%,0
55551312,,,燃烧-烈焰,RanShao,3回合每回合损失6%的最大生命值,0
55551412,,,正义,,免疫不良状态,0
55552111,,,神速,,,0
55552211,,,坚定,,,0
55552311,,,魔法,,,0
55552411,,,神盾,,,0
55552511,,,嗜血,,,0
55552611,,,狂暴,,,0
55552711,,,倍攻,,,0
55552811,,,冷酷,,,0
