idx,cid,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
109,2033,2,"I used to feel helpless for losing my mighty divine power, but this is also the unpredictable nature of darkness.",This may also be destiny.,I am always with you.,"Yes, maybe destiny also hopes that I will not interfere too much in the disputes in this world...","Ahh.. no human beings have said this to me yet, but if you want, I am looking forward to spending time with you.",,,,,10
110,2021,1,"As the messenger of the gods and the incarnation of the rainbow, lightning speed is my most proud advantage.","Indeed, speed is precious in war..",I feel like you will hit something.,"Yes, you are right! Although my combat power is not the strongest, the most important thing in war is reconnaissance and communication!","It will never happen! If you don't believe me, I can fly with you and let you see it with your own eyes!",,,,,10
111,2021,3,I am working on magic that can turn painting into reality! What do you think?,I think it is difficult...,This is so cool!,"Next time I will draw a sketch of you! In this way, our combat power can be doubled!",Are you interested in learning? I can teach you! But I have to make sure that your drawing skills are not too bad...,,,,,10
112,2027,1,The Chinese lute is an elegant oriental musical instrument. It always makes people feel peaceful...,Can you teach me to play?,Do you want to play it?,"After this disaster is over, I will be happy to study the Chinese lute and music theory with you for the rest of the time.","The performance of musical instruments requires a tranquil heart and an elegant atmosphere. If you want to listen, come to my room at night...",,,,,10
113,2027,4,"War brings suffering, and even if the gods have eternal life, there will only be emptiness in the end.",I will end the war.,You should not feel lost.,"If it is you to lead the gods and quell the war, this day might come as soon as possible...","You are right. Depression will only bury hope and determination. Instead of sighing, it is better to fight this doomsday destiny.",,,,,10
114,2010,3,Hi! Are you interested in signing a new contract with the cute and charming succubus idol?,Didn't you just sign it yesterday?,I feel that there is a conspiracy...,"Well... As hell's number one idol and Lucifer's leading pioneer, Lilith's recent performance is not enough!","Stop being suspicious! If you are willing to sign, Lilith is happy to give you a solo show!",,,,,10
115,2010,3,Hi! Are you interested in signing a new contract with the cute and charming succubus idol?,Didn't you just sign it yesterday?,I feel that there is a conspiracy...,"Well... As hell's number one idol and Lucifer's leading pioneer, Lilith's recent performance is not enough!","Stop being suspicious! If you are willing to sign, Lilith is happy to give you a solo show!",,,,,10
116,2007,1,Do you like my bear? What do you think of animals like bears?,They are very brave!,They are so cute!,The power of nature is always worthy of trust and reliance. She can fight better than me on the battlefield!,"Well, on the battlefield, many enemies said the same before being stunned by her!",,,,,10
117,2007,1,Do you like my bear? What do you think of animals like bears?,They are very brave!,They are so cute!,The power of nature is always worthy of trust and reliance. She can fight better than me on the battlefield!,"Well, on the battlefield, many enemies said the same before being stunned by her!",,,,,10
118,1001,5,Will I be a hero who will save the world in the future?,Of course you will!,Well...emmm..,Hum...Look at this awakening power. Sooner or later I will become the leader recognized by my companions!,Why I feel that you have no confidence in me. Do you want me to give you a punch to prove it? !,,,,5:1000038:1,0
119,1001,5,Alas... Does the war between the gods for thousands of years make sense?,Of course there is.,It's boring...,It seems that there is no difference between gods and humans. Heroes will also fight to implement the correct ideas.,"I think so too. Instead of wasting time fighting every day, I'd rather sit down and have a cup of black tea and play poker games.",,,,5:1000038:1,0
120,1001,3,Well... if I'm the same as Bari... and wear a witch costume... how do you think of it?,It should be cute!,It should be very handsome!,"What are you talking about! Wait, where are you looking at? ! I'm going to be angry! !",I think so too! The witch costume is a symbol of justice and elegance!,,,,5:1000038:1,0
121,1001,1,Do you like playing baseball? Are you interested in competing with me?,Anytime!,You seem very confident.,"Humph! After solving the monster's troubles at the moment, I am looking forward to competing with you on the court!",At least you are definitely not as strong as me in hitting. The broken windows in the classroom are all my masterpieces of home runs!,,,,5:1000038:1,0
122,1001,2,"In the face of powerful monsters, sometimes I have to use bows and arrows to fight... How can I shoot more accurately?",Lose extra fat?,Wear a good pair of glasses?,You... why are you staring at my breasts? ! That does not affect my bow!,Humph! My eyes are not bad at all. It is not a problem to throw an apple with a knife within ten meters!,,,,5:1000038:1,0
123,1001,3,I miss the days when I played a game of beach volleyball happily in the hot summer.,Looking forward to your match!,Looking forward to your swimsuit!,Haha! Youth are valuable on the field and on the beach!,"What you said is really direct... Well, though I am confident about my figure...",,,,5:1000038:1,0
124,2034,2,"Death is not an end, but a new beginning... What do you think?",Maybe...,I do not think so.,There is no need to doubt that everyone who has left the world will always meet again in another way.,"Haha...When you leave this world, maybe you will understand...",,,,,10
125,2034,2,"If you can choose, what do you want, eternal life or a happy life?",Eternal life...,Happy life!,"This was also my choice, but after witnessing countless farewells, all I have left is loneliness...","That is quite an interesting answer. As human beings, life is like fireworks-short but brilliant.",,,,,10
126,2013,2,What do you think of the heavy fate carried by the heroes?,Gladly accepted.,Strive hard.,"Oh, it feels like you and I are so similar. Maybe you also have a little string in my fate?",Huh... It's fun to watch human beings struggle helplessly in front of an unchangeable destiny...,,,,,10
127,2013,5,Hum... Guess what your luck is today?,Good luck? !,Bad luck...?,"Heehee... Staying with me, a girl in charge of bad luck, can at least protect you from bad luck.","Heehee...If you don't throw away the banana skin after eating the banana, you should be able to dodge a bullet...",,,,,10
128,2013,5,"Is there a girl you like? Would you like me, a genius prophet, to help you predict your relationship with her?",Yes!,Not yet...,Let me see who you like...Wow! You are such a bold person!,"Ah, destiny tells me that you will like a cute girl with cat ears and she likes sleeping late...",,,,,10
129,2013,2,Well... I'm used to the fate of being treated with cold eyes because of constantly predicting disasters.,Do you need a hug?,Heroes are always alone.,"I am not so feeble! But... But if you want to comfort me, I'll make a change to let you hug me!","Wow... it's rare that you can say such artistic words, it surprised me...",,,,,10
130,2011,3,Awww... The weather is nice today. Are you interested in basking with me?,I'd love to!,I...not very used to it.,"I know a good place to bask in the sun! But I have to ask first, are you... scared of heights?",Get used to it a few more times! Don't you want to have healthy tan skin?,,,,,10
131,2011,3,Eh...? I feel a hot gaze on me...,"Oops, I'm sorry...",You are indeed very attractive.,"Come on, don't be so shy... Appreciating the beautiful figure of Egyptian girls is a kind of enjoyment!","Really? ! Nuit thinks so too! In return, give you a kiss! Chu!",,,,,10
132,2011,1,"The dry desert occasionally has a downpour, which is really refreshing!",Exactly.,Holding an umbrella is a bit troublesome...,My desert also longs for a gentle rain tonight...so...are you free tonight?,Umbrellas are too boring! Don't you think that a girl soaked in the rain is a kind of beauty?,,,,,10
133,2026,2,The beauty of art lies in who appreciates it. Don't you think so?,I totally understand.,I don't know much about art.,It's easy to get thousands of money but hard to find a truly friend. Maybe my art exists for you...,"If you are willing to stay with me forever, you will understand sooner or later...",,,,,10
134,2026,2,This world is the most beautiful artwork. May it not be destroyed by war...,War is also an art,Hope as you wish.,"Perhaps it is, the good and bad are ever-changing. Without the cruelty of war, how can the peace come...","After this disaster is over, I will go around the world with you to restore this artwork.",,,,,10
135,2026,2,The universe is unconscious; it regards everyone as insignificant. Do you agree with ​​this sentence?,I think so.,I do not think so.,"Sometimes I sigh for the mercilessness of heaven and earth, but this is also the rule of nature and it is hard to break...","Although I don't want to say that, kindness without power may just be weakness.",,,,,10
136,2026,2,What do you think of my music... and my character?,"Elegance, tranquility...",Overflowing with enthusiasm!,It seems that we are heart to heart. I always hope that I can be as gentle as the earth.,It seems that you can see the enthusiasm for art in my heart. Few people understand me like this.,,,,,10
137,2038,1,Are you interested in archery?,I am good at it!,It seems very difficult...,"Are you? As the best archery of the Yamato god pedigree, it becomes more worthy to compete with you!","After mastering the skills, it is very simple. If you are interested, I can teach you personally!",,,,,10
138,2038,5,Your age is really mysterious! I just saw someone talking in a box in a street shop!,You mean...TV?,Uh...then?,Is that thing called TV? What kind of magic can lock people in boxes...,"I thought it was a monster, so I shot it with one arrow... Why did you look at me and laugh! Did I do something stupid?",,,,,10
139,2038,3,Are you free tonight? Are you interested in watching a fireworks display with me together?,Of course I am free!,I'm a bit busy recently...,"That's really exciting! See you tonight! By the way, do you want me to prepare a yukata for you? !",Humph... Are you going to date other girls? Your face is very red...,,,,,10
140,2038,1,"Come on! I found something fun! Just press this button, it can record the scenery in front of you!",Isn't this a camera?,(Push the button),"Ah! So this thing is called a camera... In terms of painting and recording, this thing is much useful than the magic!",Why are you suddenly facing me... It's too sudden! Wait wait wait! I need to change into a more beautiful kimono!,,,,,10
141,2022,2,"Everyone is eager to predict their own destiny, but do they have the courage to face the cruelty of fate?",At least I have the courage.,I do not know either...,"Really? But it's a pity that you are not an ordinary mortal or an ordinary god, even I can't predict your future.","In fact, whether you are a mortal or a god, knowing your own destiny is not necessarily a good thing.",,,,,10
142,2022,2,"As the goddess of fate, I cannot remember my past, nor can I know who I am...",You may come from Norse...,You may be from Greece...,"Are you referring to the three sisters of Nornir in Norse? Possibly, I feel that there are fragments of their souls in my body...",The three sisters of Moirai in Greece? Maybe...I feel that sometimes they appear in dreams...,,,,,10
143,2008,2,Do you like drinking tea? I miss the peaceful afternoon tea time every day before the end of the world...,Yes I like!,I don't like it very much...,"After this disaster is over, I really hope to have the opportunity to enjoy the afternoon tea and snacks with you...",It seems that you might be more suitable for this adventurous age when there are wars than a peaceful period...,,,,,10
144,2008,2,Do you like drinking tea? I miss the peaceful afternoon tea time every day before the end of the world...,Yes I like!,I don't like it very much...,"After this disaster is over, I really hope to have the opportunity to enjoy the afternoon tea and snacks with you...",It seems that you might be more suitable for this adventurous age when there are wars than a peaceful period...,,,,,10
145,2046,2,"Even though I was once one of the strongest gods of Yamato god pedigree, I would lose my divine power, which is really pitiful...",Do you need my help?,This is fate.,"From ancient times to the present, most mortals would only ask me for help, and I never thought that there would be a day when I need help from a mortal...",Ah...Really? Then your fate is responsible for retrieving my lost divine power with me.,,,,,10
146,2046,2,What are mortals and what are gods? Does it really make sense to discuss these boring titles?,I think it makes sense.,It really doesn't make sense...,Really? I feel that these so-called titles and identities have no effect other than triggering a war between the gods...,"Yes. It is better to do something meaningful when you have time to discuss these things, such as... have a date with someone you like?",,,,,10
147,2046,5,"In fact, country, throne, and theocracy are all worthless to me nowadays...",Why do you say that?,I think so.,"Because eventually these worldly things will usher in death, and the netherworld is the only eternal destination.","Oh? So if one day, I hope you give up everything that is mundane for me, what choice would you make?",,,,,10
148,2046,1,What do you think...is the most valuable thing in this world?,Hmm...power?,I think it should be love?,"Maybe you are right. I like the strong, especially those who are stronger than me and make me feel safe...","Love is a romantic lie that most people talk casually, but you make me feel a warmth that I have never had before.",,,,,10
149,2054,3,What kind of girls do you like?,Let me think...,"Um, mild and cute?",Hey...does it take so long to think about it? Or... I am not attractive enough in your eyes?,"Oh dear... are you talking about me? Although I like straightforward people, being too straightforward is not romantic enough!",,,,,10
150,2054,5,Why are you always distracted when chatting with me recently? Is there anything on your mind?,No... no...,Actually there is...,"Really? Let me guess, um... you have a virus called love, and there is no cure for it!",Emmm...is...is it a girl you like?,,,,,10
151,2054,1,"Do you like small animals? Which kind do you prefer, puppies or kittens?","Well, I prefer kitten.",Hmm... I like dogs.,"I thought you were more interested in dogs! I also like cats very much, but I am weak to their changeable personality...","Really? ! I especially like Shiba Inu! They are gentle, smart, and lively, you will always be in a great mood with them!",,,,,10
152,2054,1,"As a god in charge of love and marriage, who do you think is better, Cupid or me?",I presume you are the one.,You are all pretty good...,Aha! I think so too! Cupid is too casual in her treatment of people and their fate! Love can't be a joke!,"Awwwwww... I didn't expect that you are so gentle. Even if you think Cupid is better, I won't be angry!",,,,,10
153,2054,2,War is also fate. Two opponents whose fate is not staggered will not stand on the same battlefield.,Don't you hate war?,It always feels complicated...,"No,I don't hate. I have seen a lot of duels on the battlefield, and have also seen romances born after these duels...","Hmph, I see the thread that binds you to the girls... It's so complicated that it's almost forming a net..oh my gosh...",,,,,10
154,2023,2,"Even if I want to repair the damage caused by the war as much as possible, it is difficult for me to do it after losing my divine power.",I will do my best to help you.,Time will heal everything.,"This is a long journey, but I would love to have your company.","You are right. As far as the earth is concerned, no matter how many injuries it is, it will slowly heal over time.",,,,,10
155,2023,2,"Even if I want to repair the damage caused by the war as much as possible, it is difficult for me to do it after losing my divine power.",I will do my best to help you.,Time will heal everything.,"This is a long journey, but I would love to have your company.","You are right. As far as the earth is concerned, no matter how many injuries it is, it will slowly heal over time.",,,,,10
156,2037,1,Sunny days are the best! I love basking in the sun under a cloudless sky.,You seem to be in a good mood.,Do you feel hot?,"Yes, especially after enjoying the afternoon sun with someone like you. How could it get any better?",Mmm... Are you suggesting that I wear even less clothing when basking in order to cool off?,,,,,10
157,2037,1,"Cats are kept in many temples in Egypt, not only because they are cute, but also as a sacred symbol.","I like cats, too!",A sacred symbol?,Let's open a cat-themed café together after this war is over!,"Yes, in some Egyptian legends, cats are messengers of gods, and some can also become cute girls!",,,,,10
158,2037,2,Those who uphold justice will always emerge victorious!,Were you just talking to yourself?,(Continue to peeping),Oops! Where did you come from? I... I was just practicing some lines from a drama!,Ah... I like that! It's the perfect line to shout after defeating a powerful enemy!,,,,,10
159,2037,3,"Who do you think is more attractive, me or the goddess of the sky, Nuit?",It must be you!,It's really hard to judge...,"Hmph! Indeed, Nuit possesses a lot power and charm among ...",It's rare to see you hesitate. Why don't you visit my room tonight and let me reveal the correct answer.,,,,,10
160,2037,4,"Just as the sun falls behind the horizon, even a god must eventually fade away.",It's rare to see you so depressed…,Do you need a hug?,"As the main god of Egypt, I should not show any weakness in front of my companions. It was a only a private lament that I shared with you.",I would like that! Hugging you as the sun sets is the best comfort imaginable.,,,,,10
161,2037,1,Do you like Egyptian style clothing?,I like it very much!,Can't you tell by how I look at you?,"Really? Indeed, compared to other clothing, this style is the best at revealing a girl's skin and figure.","Normally, I'm not good at guessing, but the fire in your eyes tells me all I need to know...",,,,,10
162,2029,2,Justice or evil is just an excuse. It is the strength of the power that determines the world.,You are right.,I do not agree.,"Actually... I quite agree with you as my commander, at least you are a strong enough commander!","If others answer this way, I will definitely beat him up, but at least you have proved your insistence on justice with your actions.",,,,,10
163,2029,2,Justice or evil is just an excuse. It is the strength of the power that determines the world.,You are right.,I do not agree.,"Actually... I quite agree with you as my commander, at least you are a strong enough commander!","If others answer this way, I will definitely beat him up, but at least you have proved your insistence on justice with your actions.",,,,,10
164,2003,2,"No matter what kind of disaster the world has encountered, one should never give up his belief in pursuing justice and light!",I never wavered!,This is not easy to do.,"This is the excellent quality needed as a commander of the gods! As your companion, I am proud of you.","There is no need to doubt yourself, even if you really fall into the abyss, I will always be with you.",,,,,10
165,2003,2,"I never advocate solving problems by means of war, but I also never fear to end disputes by war!",It sounds contradictory...,Kindness doesn't mean weakness.,"Well, it isn't. Justice without power cannot fight against darkness, and tolerance does not mean indulging without principles.","As a mortal, I am quite surprised that you can realize this truth, and your wisdom is worthy of appreciation.",,,,,10
166,2003,5,I have been wondering whether it is right to cooperate with demons in order to defeat stronger enemies.,I think it's okay.,I will think twice!,"I had met with Lucifer on the battlefield once. Although her behavior was not justified, she was unexpectedly principled.","You are right, at least Michael, Raphael, and Gabriel will not agree to this easily.",,,,,10
167,2028,3,"It's been a while since I met you. As your mentor, it's a relief to witness your growth.",Thank you for your company.,You are actually quite strict...,Haha... At least the time we were together was much more interesting than when I was alone.,"Of course, I don't want to see you on the battlefield like a rookie, being beaten by the enemy then fly away tens of meters...",,,,,10
168,2028,1,You ask me why I always carry a lantern during the day? It seems that you don't understand my duty as a witch...,The duty as a witch?,Is this lantern very special?,"As a witch who is in charge of life and death, I not only guide the living creatures, but also need to illuminate the path for the dead.","This lantern illuminates the road to the underworld. Thanks to it, we can avoid a lot of monsters and troubles.",,,,,10
169,2028,2,"No matter what road you finally choose, I hope you will not hesitate to make your choice.",I will not hesitate!,What happens if I hesitate?,"Oh? Regardless of whether you can do or not, at least your current momentum is quite strong, I bet you can at least hold on for... a month?","If you hesitate, you will lose. This is from a legendary Japanese swordsman. Well... I guess you might have heard it...",,,,,10
170,2028,1,"In fact, sometimes I wondered, what kind of identity should I use to face you...",Companion? Or mentor?,What do you think?,Ah...It really made me feel a little bit disappointed. I thought you would give me a bolder answer...,Ahhhhh...it would be too unromantic to tell you directly. How about coming to my room tonight?,,,,,10
171,2009,2,"The earth is the source of life. Even if I lose most of my divine power, the earth will give me strength again.",I hope so...,Do you want to regain the divine power?,Time is the best medicine to cure the earth. I only hope that this war can end as soon as possible.,It doesn't matter. The earth will always take something from me and give it to a more suitable person.,,,,,10
172,2009,2,"I don't approve of Nuit fighting along side of us, even if doomsday is upon us.",Why?,But she is very strong.,I fear she won't take our struggle seriously. She has also caused more trouble in Egypt than she has ever solved.,"She is indeed good at strength, but as the commander, you will soon realize that she doesn't quite understand what a command is...",,,,,10
173,2035,2,The king is always lonely. This is the only real feeling after I ruled the Nordic gods for so long.,I don't care about being lonely.,The king is not lonely.,You are still too young. Only when you become the ruler recognized by the gods can you truly understand the meaning of loneliness.,"Interesting. I have seen countless kings, and no one has ever said that. You are indeed a unique commander.",,,,,10
174,2035,2,"It is the bounden duty of the rulers of Norse to protect the world tree, but this is not an easy task.",What is the world tree?,I will try my best to help you.,"It is the pillar of this Nordic country. As a former king, I miss the feeling of standing on the top of a tree and looking down on everything...","Few humans will give me such a firm answer, maybe you can really become the leader of the gods.",,,,,10
175,2035,2,I was defeated in the doomsday of Ragnarok. I hope that this kind of thing will never happen again.,I will take this responsibility!,I will do my best!,"Hmph...If other people say this, I will only think that he is a fool, but I agree with your ability and wisdom.","This is a bet that risking life, but I believe that with you, there is no enemy that can make us fear.",,,,,10
176,2035,2,"Wisdom is the guarantee of victory. We need not only unmatched brave men in the war, but also clever military counsellors.",It's hard to be a wise man...,Hope you guide me more!,"I was willing to pay the price of one eye in order to gain wisdom, but I understand that the wise man will always be invincible.","I used to be the ruler of the gods, but you are the future of the gods. I hope you can hold this glory for me.",,,,,10
177,2035,1,"To be honest, in the eyes of other gods, I was just an unromantic and indifferent ruler...",It's not that case.,At least I appreciate you!,"It seems that the times have changed. Now, as a companion of the gods, it is indeed easier for me to get close to others than as the commander of the gods.",Really? It seems that someone deserves to spend a night on me and entertain him with a good bottle of mead.,,,,,10
178,2004,5,Is the charm of the songs I sing really powerful enough to make people throw themselves into the sea...,At least the legend said it is...,Actually I want to hear it!,This is really distressing! My ideal is to be an idol!,"Oh, really? ! To prevent accidents, should I find a rope to trap you on the mast?",,,,,10
179,2004,1,I really want to see the scenery on the land. I heard that there are beautiful grasslands and majestic mountains on the land...,I'm afraid not now...,I thought you could come ashore.,"Yes, doomsday is not over yet, I don't want to see erupting volcanoes and dusty ruins.","Of course I can go ashore, the premise is that you can hold me, haha...",,,,,10
180,2004,2,I heard that Lord Poseidon lost most of her divine power when she woke up in this world. Is this true?,Exactly.,Do you want to play a prank?,So that's true! This is so exciting...ah no no no.. so regrettable...,Haha! How could I? I just want to see the face of the god of the sea who is majestic in the past...,,,,,10
181,2012,2,"I will not feel sad about the disasters that the earth has suffered in the war, this is just a necessary test.",The test of fate?,Are you afraid?,Everything follows the rules of nature. There is no need to avoid fate. The tribulation will make the earth more solid.,"No, I won't. Everything is endless and cyclical. Even if it is silent for a while, it will eventually be reborn on the earth.",,,,,10
182,2012,3,"During the time I got along with you, I felt more like your elders than companions.",I felt it too.,I didn't feel anything...,"So no matter what trouble you encounter, please tell me. At least I should face it with you.","Hmm... It seems that in your eyes, I am much younger than I thought...",,,,,10
183,2012,2,"As a mortal, you have to carry the heavy responsibility of solving this disaster. Fate is too harsh on you...",I have long been fearless!,Companion will give me courage.,你有着和我一样坚强的意志和灵魂，希望众神能在你的统率下度过这场浩劫…… ,"Indeed. No matter how strong a person is, he may not have enough reliable companions.",,,,,10
184,2012,1,"Which do you like better, flowers or trees? After each battle, I always plant various plants on the battlefield.",I like flowers.,I prefer trees.,Even the simplest flower can use its unique fragrance to dispel the dark clouds of war.,"Trees are a sign of recovery. Even they are not beautiful as flowers, they can slowly heal the scars of the earth.",,,,,10
185,2012,2,"When I was summoned into this world, I lost most of my divine power, which I have to say is a pity...",Do you want to regain your divine power?,You need to refresh yourself.,"Of course, if I were to return to the heyday of divine power, then end this doomsday... I am afraid it will only take a few days.",安心吧，我并不会因此而消沉，在见证你的成长后，我已经看见了新的希望。 ,,,,,10
186,2018,5,Minotaur's labyrinth... is it really so easy to get out of it?,It's too easy.,It's actually quite difficult...,Ah...really? ! I will throw you into the center of the labyrinth tomorrow to see if this is true.,"In fact, if you have the power as orc, you can destroy walls when you face them, and sooner or later you can get out.",,,,,10
187,2018,5,Minotaur's labyrinth... is it really so easy to get out of it?,It's too easy.,It's actually quite difficult...,Ah...really? ! I will throw you into the center of the labyrinth tomorrow to see if this is true.,"In fact, if you have the power as orc, you can destroy walls when you face them, and sooner or later you can get out.",,,,,10
188,2017,2,"In order to pursue your own ideas, one chooses to sacrifice. Do you think it is worthy?","Yes, I do!",I am not sure...,"Few humans will give me such a firm answer, maybe you can really become the leader of the gods.","Find an idea worthy of sacrifice. Whether you are confused or fearful, I will always guard you.",,,,,10
189,2017,2,"In order to pursue your own ideas, one chooses to sacrifice. Do you think it is worthy?","Yes, I do!",I am not sure...,"Few humans will give me such a firm answer, maybe you can really become the leader of the gods.","Find an idea worthy of sacrifice. Whether you are confused or fearful, I will always guard you.",,,,,10
190,2036,2,"Hi, what do you think of the idea of combining the real world and dreams into one?",It's quite novel!,It's too dangerous!,"Haha...Always immersed in dreams, dreams are reality, is there anything more wonderful than this...","Hmph, what an unromantic guy, at least I have dreams.",,,,,10
191,2036,2,Do you think... I can become a strong person that my companions can rely on?,Unless you face reality.,At least in dreams you can.,"For me, this is really not easy...but with you, maybe I can change myself.","Then in order to make this dream come true, it seems that people all over the world will never be able to wake up.",,,,,10
192,2036,2,"Do you think it is worth doing whatever it takes, in order to become stronger?",It's unworthy.,Maybe yes.,"Ok, is it? But only the strong can control the destiny of himself and the world, is that right?",There is no difference between good and evil in the world. Maybe kindness is only defined by the strong...,,,,,10
193,2006,1,"If you have the ability to read people's mind, would you want to secretly read the thoughts of the person you like?",Probably not.,Probably I will...,You're right. What's the point if gained love by this kind of ability?,"Oh, what an honest and cute guy! Then tell me honestly...what are you thinking about now?",,,,,10
194,2006,1,"If you have the ability to read people's mind, would you want to secretly read the thoughts of the person you like?",Probably not.,Probably I will...,You're right. What's the point if gained love by this kind of ability?,"Oh, what an honest and cute guy! Then tell me honestly...what are you thinking about now?",,,,,10
195,2040,2,I'm bored! How about sparring with me? It will be good practice!,Anytime!,It seems someone is calling me!,Haha! I won't lose like last time! Take that!,Hey! Not that excuse again! Ah... Forget it! I'll practice alone with a combat dummy.,,,,,10
196,2040,1,Flames... they are both beautiful and dangerous. What do you think of them?,Fire is the symbol of civilization.,Flames remind me of war.,"Exactly. Fire was the first great discovery, and now civilization thrives on it.","Perhaps. The flame brings wisdom, but it also ignites disputes in the kingdom and the desire to plunder...",,,,,10
197,2040,4,I prefer to solve things by fighting. I hate it when humans try to reason with me instead.,Sometimes a fight does solve the problem.,Force is not everything.,Exactly! Troublesome people just need a good punch. If that's not enough... uh... then two punches!,"I'm too hot-tempered to reason. But every time, you manage to calm me down.",,,,,10
198,2040,3,Do you like spicy food?,Yes I like it hot!,It's too hot for me.,There is nothing better than a big bowl of rice topped with chili peppers and roast meat just before battle!,Hmm... But girls who like hot are always popular! Whether it's character or figure...,,,,,10
199,2005,1,"Hi, what do you think of this mummy-style costume?",It's very unique!,Bandages are troublesome...,You have really good taste! Do you want to come to my room and...let me teach you how to dress...?,"It's troublesome to wrap it around, but it's very convenient to take it off! Do you want to try it?",,,,,10
200,2005,1,"Hi, what do you think of this mummy-style costume?",It's very unique!,Bandages are troublesome...,You have really good taste! Do you want to come to my room and...let me teach you how to dress...?,"It's troublesome to wrap it around, but it's very convenient to take it off! Do you want to try it?",,,,,10
201,2015,1,"Are you looking forward to having eternal youth, like the gods?",Yes!,I'm not interested...,"Youth is an invaluable wealth. No matter appearance, vitality or passion, it is meaningful with youth!",No way? ! I have never seen a mortal who does not long for eternal youth!,,,,,10
202,2015,5,Do you think the precious golden apple... will really trigger a war between the gods?,At least in Greece it will.,Probably not.,"Haha, I heard that the goddesses Athena, Hera, and Aphrodite are fighting hard for this!","You think it won't? ! Let's make a bet. I think of a funny prank, hee hee...",,,,,10
203,2015,2,"If I were a mortal, my beauty would fade away by the passing time, can I still be in love?",At least I can give you love.,"Well, it's hard to say...","You didn't lie to me, did you? If you lie to me, I will never forgive you!",That's right... Most often mortals' love will disappear with the passing of youth.,,,,,10
204,2020,1,"Abundant music and beautiful poetry, which art do you prefer?",Music.,Poetry.,Music is the soul of a song. Are you interested in listening to me sing a song?,Poetry can always express people's emotions well. Would you like to see my new poetry?,,,,,10
205,2020,1,"Abundant music and beautiful poetry, which art do you prefer?",Music.,Poetry.,Music is the soul of a song. Are you interested in listening to me sing a song?,Poetry can always express people's emotions well. Would you like to see my new poetry?,,,,,10
206,2058,1,"Humph... I smell something I like! You brought fish, right? !",Your have such a sensitive nose...,Errr... I didn't bring it!,"If you are willing to exchange with me, I will give you an extraordinary gift!","Awww, you are such a liar! If you don't give it to me, I will scratch you!",,,,,10
207,2058,5,Are human beings afraid of whatever monsters they see...?,Not the cute one!,A little...,"Oh! ! Did you say I'm so cute, right? ! It must be so! !","Hum, I will sneak into your bedroom tonight and eat you, be careful miaow...",,,,,10
208,2058,5,Hey! Do humans like to call themselves the master of cats? What does the word master mean?,It refers to friend.,It refers to lover.,Really? ! How about next time I invite you to a party with animal monster friends? !,Miaow...Is it the kind of shy relationship that makes people blush...You are really direct meow...,,,,,10
209,2058,3,Ears and tails are rare treasures! Do you want to touch it?,Yes! I want to touch!,"Humph, I don't want to.","Well, if you are willing to give me fish, then I'll allow you to touch meow!",I never thought who could hold back our furry temptation strikes! Are you really a human meow? !,,,,,10
210,2058,2,"Ah... Whether it's a god or a human, everyone seems to have a selfish side.","But gods are immortal, and humans are not.",Exactly...,Really? Although I did see a lot of good people before I became a monster...,Alas...it's a shame to have fish but don't know how to share it with friends miaow...,,,,,10
211,2058,1,"As a demon cat, do you think my power is strong?","Yes, you are very strong!",How do you feel about yourself?,Is it? ! Humph! I will definitely become your most reliable comrade miaow! !,I think I'm strong miaow. Such a big stone can be crushed with just one paw!,,,,,10
212,2002,4,"I have never expected that I, once one of the strongest gods, would lose power like a mortal...",Do you want to regain power?,Maybe this is destiny...,I must end this catastrophe with you and regain the divine power that originally belonged to me!,"I should also be grateful for this destiny. If it weren't like this, I wouldn't meet you...",,,,,10
213,2002,1,Do you like surfing?,I am very good at surfing!,"Eh, I will be drowning in water.","Really? I have never seen a human being able to beat me, and I must compete with you if I have a chance!","Do you want me to teach you surfing? I will hold you tight, at least you don't have to worry about sinking to the bottom...",,,,,10
214,2002,2,When will this war between the gods end...,I do not know either...,I will end it as soon as possible!,"In the days of Olympus, the wars are endless. I was already tired of wars...","If there is a day when the war is over, how about taking you to the underwater palace and living with me?",,,,,10
215,2063,1,"Of all the flowers, my favorite is the lotus. What's yours?","It's my favorite, too.",It feels a bit ordinary...,"You have good taste. The lotus flower is born in the mud but emerges spotless, just as rightful justice is born from a world of constant strife.","In my perspective, blood is the inheritance of the family. Even if the bonds are fragile, it is an unbreakable reality bestowed by the gods.",,,,,10
216,2063,2,What do you think about the bond between blood relatives? Do you think such relationships are more important than others?,I think so.,"No, I don't.","In my percepective, blood is the inheritance of the family. Even if the bonds are fragile, it is an unbreakable reality bestowed by the gods.","Maybe you are right, for the bond we share proves that other types of relationshps may be even stronger.",,,,,10
217,2063,2,"I will take on the mission of the entire Korean Divine. Just like Princess Bari, I will do my best to protect the people of Korea.",I will always support you.,That sounds like a heavy burden.,"Well, you are right. Grief should be used as a driving force to prevent disaster.","Princess Bari may be much weaker than me, but she never stops fighting. And neither shall I.",,,,,10
218,2063,2,How many families have been destroyed by this catastrophe and how many parents and children have been separated...,Feeling sorry for them can't change anything.,This disaster must have an end.,"Well, you are right. Grief should be turned into a drive to prevent disaster.","I don't know when the war will end. In the meantime, I hope we can save more lives.",,,,,10
