layer,reward,reward_first,normal_monster_npc_id_list,multi_npc_id_list_array[0],multi_npc_id_list_array[1],max_round,desc
209,1:1:101800|1:4:110,1:1:21900|1:4:10,3209|3209|3209|3209|3209|3209,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
210,1:1:102000|5:1000004:11,1:1:22000|1:4:10|5:3000009:2|5:3000008:3,3210|3211|3211|3212|3212|3210,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
211,1:1:102200|1:4:110,1:1:22100|1:4:10,3211|3211|3211|3211|3211|3211,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
212,1:1:102400|1:4:110,1:1:22200|1:4:10,3212|3212|3212|3212|3212|3212,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
213,1:1:102600|1:4:110,1:1:22300|1:4:10,3213|3213|3213|3213|3213|3213,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
214,1:1:102800|1:4:110,1:1:22400|1:4:10,3214|3214|3214|3214|3214|3214,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
215,1:1:103000|1:4:110,1:1:22500|1:4:10,3215|3215|3215|3215|3215|3215,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
216,1:1:103200|1:4:110,1:1:22600|1:4:10,3216|3216|3216|3216|3216|3216,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
217,1:1:103400|1:4:110,1:1:22700|1:4:10,3217|3217|3217|3217|3217|3217,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
218,1:1:103600|1:4:110,1:1:22800|1:4:10,3218|3218|3218|3218|3218|3218,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
219,1:1:103800|1:4:110,1:1:22900|1:4:10,3219|3219|3219|3219|3219|3219,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
220,1:1:104000|5:1000004:11,1:1:23000|1:4:10|5:3000009:2|5:3000008:3,3221|3222|3222|3220|3220|3220,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
221,1:1:104200|1:4:120,1:1:23100|1:4:10,3221|3221|3221|3221|3221|3221,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
222,1:1:104400|1:4:120,1:1:23200|1:4:10,3222|3222|3222|3222|3222|3222,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
223,1:1:104600|1:4:120,1:1:23300|1:4:10,3223|3223|3223|3223|3223|3223,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
224,1:1:104800|1:4:120,1:1:23400|1:4:10,3224|3224|3224|3224|3224|3224,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
225,1:1:105000|1:4:120,1:1:23500|1:4:10,3225|3225|3225|3225|3225|3225,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
226,1:1:105200|1:4:120,1:1:23600|1:4:10,3226|3226|3226|3226|3226|3226,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
227,1:1:105400|1:4:120,1:1:23700|1:4:10,3227|3227|3227|3227|3227|3227,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
228,1:1:105600|1:4:120,1:1:23800|1:4:10,3228|3228|3228|3228|3228|3228,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
229,1:1:105800|1:4:120,1:1:23900|1:4:10,3229|3229|3229|3229|3229|3229,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
230,1:1:106000|5:1000004:12,1:1:24000|1:4:10|5:3000009:2|5:3000008:3,3230|3230|3230|3232|3233|3230,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
231,1:1:106200|1:4:120,1:1:24100|1:4:10,3231|3231|3231|3231|3231|3231,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
232,1:1:106400|1:4:120,1:1:24200|1:4:10,3232|3232|3232|3232|3232|3232,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
233,1:1:106600|1:4:120,1:1:24300|1:4:10,3233|3233|3233|3233|3233|3233,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
234,1:1:106800|1:4:120,1:1:24400|1:4:10,3234|3234|3234|3234|3234|3234,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
235,1:1:107000|1:4:120,1:1:24500|1:4:10,3235|3235|3235|3235|3235|3235,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
236,1:1:107200|1:4:120,1:1:24600|1:4:10,3236|3236|3236|3236|3236|3236,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
237,1:1:107400|1:4:120,1:1:24700|1:4:10,3237|3237|3237|3237|3237|3237,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
238,1:1:107600|1:4:120,1:1:24800|1:4:10,3238|3238|3238|3238|3238|3238,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
239,1:1:107800|1:4:120,1:1:24900|1:4:10,3239|3239|3239|3239|3239|3239,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
240,1:1:108000|5:1000004:12,1:1:25000|1:4:10|5:3000009:2|5:3000008:3,3241|3240|3240|3242|3240|3243,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
241,1:1:108200|1:4:130,1:1:25100|1:4:10,3241|3241|3241|3241|3241|3241,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
242,1:1:108400|1:4:130,1:1:25200|1:4:10,3242|3242|3242|3242|3242|3242,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
243,1:1:108600|1:4:130,1:1:25300|1:4:10,3243|3243|3243|3243|3243|3243,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
244,1:1:108800|1:4:130,1:1:25400|1:4:10,3244|3244|3244|3244|3244|3244,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
245,1:1:109000|1:4:130,1:1:25500|1:4:10,3245|3245|3245|3245|3245|3245,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
246,1:1:109200|1:4:130,1:1:25600|1:4:10,3246|3246|3246|3246|3246|3246,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
247,1:1:109400|1:4:130,1:1:25700|1:4:10,3247|3247|3247|3247|3247|3247,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
248,1:1:109600|1:4:130,1:1:25800|1:4:10,3248|3248|3248|3248|3248|3248,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
249,1:1:109800|1:4:130,1:1:25900|1:4:10,3249|3249|3249|3249|3249|3249,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
250,1:1:110000|5:1000004:13,1:1:26000|1:4:10|5:3000009:2|5:3000008:3,3249|3248|3250|3250|3247|3246,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
251,1:1:110200|1:4:140,1:1:26100|1:4:10,3250|3249|3251|3251|3248|3251,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
252,1:1:110400|1:4:140,1:1:26200|1:4:10,3251|3252|3250|3252|3249|3251,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
253,1:1:110600|1:4:140,1:1:26300|1:4:10,3253|3251|3252|3253|3253|3250,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
254,1:1:110800|1:4:140,1:1:26400|1:4:10,3253|3252|3254|3251|3254|3254,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
255,1:1:111000|1:4:140,1:1:26500|1:4:10,3255|3255|3256|3254|3253|3255,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
256,1:1:111200|1:4:140,1:1:26600|1:4:10,3256|3255|3256|3256|3254|3256,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
257,1:1:111400|1:4:140,1:1:26700|1:4:10,3255|3257|3257|3258|3256|3254,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
258,1:1:111600|1:4:140,1:1:26800|1:4:10,3257|3258|3257|3259|3258|3258,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
259,1:1:111800|1:4:140,1:1:26900|1:4:10,3259|3259|3259|3259|3259|3259,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
260,1:1:112000|5:1000004:14,1:1:27000|1:4:10|5:3000009:2|5:3000008:3,3258|3260|3260|3259|3260|3260,,,30,Shadow archers always appear in darkness.
261,1:1:112200|1:4:150,1:1:27100|1:4:10,3259|3258|3260|3261|3261|3260,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
262,1:1:112400|1:4:150,1:1:27200|1:4:10,3262|3261|3262|3259|3260|3262,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
263,1:1:112600|1:4:150,1:1:27300|1:4:10,3263|3260|3263|3263|3262|3261,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
264,1:1:112800|1:4:150,1:1:27400|1:4:10,3261|3262|3263|3264|3264|3264,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
265,1:1:113000|1:4:150,1:1:27500|1:4:10,3264|3265|3263|3265|3265|3266,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
266,1:1:113200|1:4:150,1:1:27600|1:4:10,3265|3266|3266|3264|3266|3267,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
267,1:1:113400|1:4:150,1:1:27700|1:4:10,3267|3266|3265|3267|3267|3268,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
268,1:1:113600|1:4:150,1:1:27800|1:4:10,3268|3268|3268|3267|3266|3269,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
269,1:1:113800|1:4:150,1:1:27900|1:4:10,3269|3268|3270|3269|3269|3270,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
270,1:1:114000|5:1000004:15,1:1:28000|1:4:10|5:3000009:2|5:3000008:3,3269|3270|3270|3271|3270|3272,,,30,Shadow archers always appear in darkness.
271,1:1:114200|1:4:160,1:1:28100|1:4:10,3271|3270|3269|3271|3271|3270,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
272,1:1:114400|1:4:160,1:1:28200|1:4:10,3271|3272|3270|3272|3272|3271,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
273,1:1:114600|1:4:160,1:1:28300|1:4:10,3273|3273|3272|3271|3270|3273,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
274,1:1:114800|1:4:160,1:1:28400|1:4:10,3274|3272|3273|3274|3275|3274,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
275,1:1:115000|1:4:160,1:1:28500|1:4:10,3275|3276|3274|3275|3273|3275,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
276,1:1:115200|1:4:160,1:1:28600|1:4:10,3276|3275|3277|3276|3276|3275,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
277,1:1:115400|1:4:160,1:1:28700|1:4:10,3277|3277|3278|3276|3275|3277,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
278,1:1:115600|1:4:160,1:1:28800|1:4:10,3278|3279|3278|3276|3278|3278,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
279,1:1:115800|1:4:160,1:1:28900|1:4:10,3279|3278|3280|3279|3277|3279,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
280,1:1:116000|5:1000004:16,1:1:29000|1:4:10|5:3000009:2|5:3000008:3,3281|3280|3280|3282|3280|3280,,,30,被深渊吞噬，泯灭了良知，只剩下杀戮的欲望，噬骨僧具有极大的破坏力！
281,1:1:116200|1:4:170,1:1:29100|1:4:10,3281|3280|3281|3278|3279|3281,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
282,1:1:116400|1:4:170,1:1:29200|1:4:10,3282|3282|3281|3280|3279|3282,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
283,1:1:116600|1:4:170,1:1:29300|1:4:10,3282|3283|3283|3281|3283|3280,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
284,1:1:116800|1:4:170,1:1:29400|1:4:10,3284|3283|3283|3284|3284|3285,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
285,1:1:117000|1:4:170,1:1:29500|1:4:10,3283|3285|3284|3285|3285|3286,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
286,1:1:117200|1:4:170,1:1:29600|1:4:10,3285|3286|3287|3286|3286|3283,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
287,1:1:117400|1:4:170,1:1:29700|1:4:10,3284|3285|3286|3287|3287|3287,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
288,1:1:117600|1:4:170,1:1:29800|1:4:10,3288|3288|3289|3287|3288|3289,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
289,1:1:117800|1:4:170,1:1:29900|1:4:10,3289|3290|3289|3288|3289|3286,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
290,1:1:118000|5:1000004:17,1:1:30000|1:4:10|5:3000009:2|5:3000008:3,3290|3291|3292|3289|3290|3290,,,30,Death warriors are unbeatable!
291,1:1:118200|1:4:180,1:1:30100|1:4:10,3291|3291|3292|3290|3291|3293,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
292,1:1:118400|1:4:180,1:1:30200|1:4:10,3289|3291|3293|3290|3292|3294,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
293,1:1:118600|1:4:180,1:1:30300|1:4:10,3293|3293|3291|3292|3294|3295,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
294,1:1:118800|1:4:180,1:1:30400|1:4:10,3292|3293|3294|3295|3294|3296,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
295,1:1:119000|1:4:180,1:1:30500|1:4:10,3297|3296|3295|3295|3294|3295,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
296,1:1:119200|1:4:180,1:1:30600|1:4:10,3295|3294|3296|3297|3296|3298,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
297,1:1:119400|1:4:180,1:1:30700|1:4:10,3297|3298|3299|3300|3295|3294,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
298,1:1:119600|1:4:180,1:1:30800|1:4:10,3298|3297|3299|3300|3298|3297,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
299,1:1:119800|1:4:180,1:1:30900|1:4:10,3299|3300|3300|3298|3297|3299,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
300,1:1:120000|5:1000004:18,1:1:31000|1:4:10|5:3000009:2|5:3000008:3,3300|3300|3299|3298|3297|3300,,,30,Be careful of the high magic damage!
301,1:1:120200|1:4:190,1:1:31100|1:4:10,3301|3301|3301|3301|3301|3301,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
302,1:1:120400|1:4:190,1:1:31200|1:4:10,3302|3302|3302|3302|3302|3302,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
303,1:1:120600|1:4:190,1:1:31300|1:4:10,3303|3303|3303|3303|3303|3303,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
304,1:1:120800|1:4:190,1:1:31400|1:4:10,3304|3304|3304|3304|3304|3304,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
305,1:1:121000|1:4:190,1:1:31500|1:4:10,3305|3305|3305|3305|3305|3305,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
306,1:1:121200|1:4:190,1:1:31600|1:4:10,3306|3306|3306|3306|3306|3306,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
307,1:1:121400|1:4:190,1:1:31700|1:4:10,3307|3307|3307|3307|3307|3307,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
308,1:1:121600|1:4:190,1:1:31800|1:4:10,3308|3308|3308|3308|3308|3308,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
309,1:1:121800|1:4:190,1:1:31900|1:4:10,3309|3309|3309|3309|3309|3309,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
310,1:1:122000|5:1000004:19,1:1:32000|1:4:10|5:3000009:2|5:3000008:3,3310|3310|3310|3310|3310|3310,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
311,1:1:122200|1:4:200,1:1:32100|1:4:10,3311|3311|3311|3311|3311|3311,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
312,1:1:122400|1:4:200,1:1:32200|1:4:10,3312|3312|3312|3312|3312|3312,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
313,1:1:122600|1:4:200,1:1:32300|1:4:10,3313|3313|3313|3313|3313|3313,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
314,1:1:122800|1:4:200,1:1:32400|1:4:10,3314|3314|3314|3314|3314|3314,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
315,1:1:123000|1:4:200,1:1:32500|1:4:10,3315|3315|3315|3315|3315|3315,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
316,1:1:123200|1:4:200,1:1:32600|1:4:10,3316|3316|3316|3316|3316|3316,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
317,1:1:123400|1:4:200,1:1:32700|1:4:10,3317|3317|3317|3317|3317|3317,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
318,1:1:123600|1:4:200,1:1:32800|1:4:10,3318|3318|3318|3318|3318|3318,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
319,1:1:123800|1:4:200,1:1:32900|1:4:10,3319|3319|3319|3319|3319|3319,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
320,1:1:124000|5:1000004:20,1:1:33000|1:4:10|5:3000009:2|5:3000008:3,3320|3320|3320|3320|3320|3320,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
321,1:1:124200|1:4:210,1:1:33100|1:4:10,3321|3321|3321|3321|3321|3321,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
322,1:1:124400|1:4:210,1:1:33200|1:4:10,3322|3322|3322|3322|3322|3322,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
323,1:1:124600|1:4:210,1:1:33300|1:4:10,3323|3323|3323|3323|3323|3323,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
324,1:1:124800|1:4:210,1:1:33400|1:4:10,3324|3324|3324|3324|3324|3324,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
325,1:1:125000|1:4:210,1:1:33500|1:4:10,3325|3325|3325|3325|3325|3325,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
326,1:1:125200|1:4:210,1:1:33600|1:4:10,3326|3326|3326|3326|3326|3326,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
327,1:1:125400|1:4:210,1:1:33700|1:4:10,3327|3327|3327|3327|3327|3327,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
328,1:1:125600|1:4:210,1:1:33800|1:4:10,3328|3328|3328|3328|3328|3328,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
329,1:1:125800|1:4:210,1:1:33900|1:4:10,3329|3329|3329|3329|3329|3329,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
330,1:1:126000|5:1000004:21,1:1:34000|1:4:10|5:3000009:2|5:3000008:3,3330|3330|3330|3330|3330|3330,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
331,1:1:126200|1:4:220,1:1:34100|1:4:10,3331|3331|3331|3331|3331|3331,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
332,1:1:126400|1:4:220,1:1:34200|1:4:10,3332|3332|3332|3332|3332|3332,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
333,1:1:126600|1:4:220,1:1:34300|1:4:10,3333|3333|3333|3333|3333|3333,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
334,1:1:126800|1:4:220,1:1:34400|1:4:10,3334|3334|3334|3334|3334|3334,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
335,1:1:127000|1:4:220,1:1:34500|1:4:10,3335|3335|3335|3335|3335|3335,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
336,1:1:127200|1:4:220,1:1:34600|1:4:10,3336|3336|3336|3336|3336|3336,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
337,1:1:127400|1:4:220,1:1:34700|1:4:10,3337|3337|3337|3337|3337|3337,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
338,1:1:127600|1:4:220,1:1:34800|1:4:10,3338|3338|3338|3338|3338|3338,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
339,1:1:127800|1:4:220,1:1:34900|1:4:10,3339|3339|3339|3339|3339|3339,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
340,1:1:128000|5:1000004:22,1:1:35000|1:4:10|5:3000009:2|5:3000008:3,3340|3340|3340|3340|3340|3340,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
341,1:1:128200|1:4:230,1:1:35100|1:4:10,3341|3341|3341|3341|3341|3341,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
342,1:1:128400|1:4:230,1:1:35200|1:4:10,3342|3342|3342|3342|3342|3342,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
343,1:1:128600|1:4:230,1:1:35300|1:4:10,3343|3343|3343|3343|3343|3343,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
344,1:1:128800|1:4:230,1:1:35400|1:4:10,3344|3344|3344|3344|3344|3344,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
345,1:1:129000|1:4:230,1:1:35500|1:4:10,3345|3345|3345|3345|3345|3345,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
346,1:1:129200|1:4:230,1:1:35600|1:4:10,3346|3346|3346|3346|3346|3346,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
347,1:1:129400|1:4:230,1:1:35700|1:4:10,3347|3347|3347|3347|3347|3347,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
348,1:1:129600|1:4:230,1:1:35800|1:4:10,3348|3348|3348|3348|3348|3348,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
349,1:1:129800|1:4:230,1:1:35900|1:4:10,3349|3349|3349|3349|3349|3349,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
350,1:1:130000|5:1000004:23,1:1:36000|1:4:10|5:3000009:2|5:3000008:3,3350|3350|3350|3350|3350|3350,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
351,1:1:130200,1:1:36100|1:4:10,3351|3351|3351|3351|3351|3351,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
352,1:1:130400,1:1:36200|1:4:10,3352|3352|3352|3352|3352|3352,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
353,1:1:130600,1:1:36300|1:4:10,3353|3353|3353|3353|3353|3353,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
354,1:1:130800,1:1:36400|1:4:10,3354|3354|3354|3354|3354|3354,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
355,1:1:131000,1:1:36500|1:4:10,3355|3355|3355|3355|3355|3355,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
356,1:1:131200,1:1:36600|1:4:10,3356|3356|3356|3356|3356|3356,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
357,1:1:131400,1:1:36700|1:4:10,3357|3357|3357|3357|3357|3357,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
358,1:1:131600,1:1:36800|1:4:10,3358|3358|3358|3358|3358|3358,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
359,1:1:131800,1:1:36900|1:4:10,3359|3359|3359|3359|3359|3359,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
360,1:1:132000|5:1000004:24,1:1:37000|1:4:10|5:3000009:3|5:3000008:3,3360|3360|3360|3360|3360|3360,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
361,1:1:132200,1:1:37100|1:4:10,3361|3361|3361|3361|3361|3361,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
362,1:1:132400,1:1:37200|1:4:10,3362|3362|3362|3362|3362|3362,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
363,1:1:132600,1:1:37300|1:4:10,3363|3363|3363|3363|3363|3363,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
364,1:1:132800,1:1:37400|1:4:10,3364|3364|3364|3364|3364|3364,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
365,1:1:133000,1:1:37500|1:4:10,3365|3365|3365|3365|3365|3365,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
366,1:1:133200,1:1:37600|1:4:10,3366|3366|3366|3366|3366|3366,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
367,1:1:133400,1:1:37700|1:4:10,3367|3367|3367|3367|3367|3367,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
368,1:1:133600,1:1:37800|1:4:10,3368|3368|3368|3368|3368|3368,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
369,1:1:133800,1:1:37900|1:4:10,3369|3369|3369|3369|3369|3369,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
370,1:1:134000|5:1000004:25,1:1:38000|1:4:10|5:3000009:3|5:3000008:3,3370|3370|3370|3370|3370|3370,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
371,1:1:134200,1:1:38100|1:4:10,3371|3371|3371|3371|3371|3371,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
372,1:1:134400,1:1:38200|1:4:10,3372|3372|3372|3372|3372|3372,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
373,1:1:134600,1:1:38300|1:4:10,3373|3373|3373|3373|3373|3373,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
374,1:1:134800,1:1:38400|1:4:10,3374|3374|3374|3374|3374|3374,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
375,1:1:135000,1:1:38500|1:4:10,3375|3375|3375|3375|3375|3375,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
376,1:1:135200,1:1:38600|1:4:10,3376|3376|3376|3376|3376|3376,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
377,1:1:135400,1:1:38700|1:4:10,3377|3377|3377|3377|3377|3377,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
378,1:1:135600,1:1:38800|1:4:10,3378|3378|3378|3378|3378|3378,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
379,1:1:135800,1:1:38900|1:4:10,3379|3379|3379|3379|3379|3379,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
380,1:1:136000|5:1000004:26,1:1:39000|1:4:10|5:3000009:3|5:3000008:3,3380|3380|3380|3380|3380|3380,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
381,1:1:136200,1:1:39100|1:4:10,3381|3381|3381|3381|3381|3381,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
382,1:1:136400,1:1:39200|1:4:10,3382|3382|3382|3382|3382|3382,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
383,1:1:136600,1:1:39300|1:4:10,3383|3383|3383|3383|3383|3383,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
384,1:1:136800,1:1:39400|1:4:10,3384|3384|3384|3384|3384|3384,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
385,1:1:137000,1:1:39500|1:4:10,3385|3385|3385|3385|3385|3385,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
386,1:1:137200,1:1:39600|1:4:10,3386|3386|3386|3386|3386|3386,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
387,1:1:137400,1:1:39700|1:4:10,3387|3387|3387|3387|3387|3387,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
388,1:1:137600,1:1:39800|1:4:10,3388|3388|3388|3388|3388|3388,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
