id,cid,level,has_advance,has_super,awake,god_awake,super_awake,skin_cid,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
130,2061,1,0,0,0|1|2|3|4|5,0,0,102061000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
131,2049,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102049000|102049200|102049300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
132,2074,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102074000|102074200|102074300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
133,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
134,2049,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102049000|102049200|102049300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
135,2047,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102047002|102047200|102047301,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
136,2073,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102073000|102073200|102073300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
137,2078,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102078000|102078200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
138,2083,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102083000|102083200|102083300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
139,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
140,2047,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102047002|102047200|102047301,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
141,2074,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102074000|102074200|102074300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
142,2039,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102039000|102039200|102039300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
143,2082,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102082000|102082200|102082300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
144,2054,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102054000|102054200|102054300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
145,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
146,2076,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102076000|102076001|102076200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
147,2016,1,0,0,0|1|2|3|4|5,0,0,102016002|102016002|102016002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
148,2034,1,0,0,0|1|2|3,0,0,102034000|102034000|102034000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
149,2081,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102081000|102081200|102081300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
150,2077,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102077000|102077200|102077300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
151,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
152,2023,1,0,0,0|1|2|3,0,0,102023002|102023002|102023002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
153,2077,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102077000|102077200|102077300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
154,2049,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102049000|102049200|102049300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
155,2069,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102069000|102069200|102069300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
156,2076,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102076000|102076200|102076300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
157,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
158,2047,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102047002|102047200|102047301,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
159,2071,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102071000|102071200|102071300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
160,2034,1,0,0,0|1|2|3,0,0,102034000|102034000|102034000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
161,2081,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102081000|102081200|102081300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
162,2078,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102078000|102078200|102078300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
