idx,skin_id,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
103,102019000,2,很多人都抱怨自己的运气不佳，其实这无非是命运难违的证据罢了……,命运掌控一切。,命运可以改变。,审判永远跟随着为恶者的命运，他们永远无法逃脱复仇女神的脚步。,人类是我见过的最狂妄的种族，但或许正是这样，才让人类拥有了改变命运的机会。,,,,,10
104,102019000,1,即使我身为复仇女神，也希望有一天，世界上不再有任何触犯正义的罪人。,这恐怕很难做到。,我会尽力帮助你。,自古正义难成，但我绝不会因此而退缩，罪恶不尽，复仇不止。,我并不希望你背负和我的命运，复仇和正义都太沉重了，我更愿意看到你的微笑。,,,,,10
105,102001000,4,如果有机会，你想拥有看一眼就把对方变成石头的能力吗？,对敌人很有效！,呃……还是算了。,我倒想去掉这能力，因为相对于提升战斗力，我更在意不能与中意的人四目相对……,看来你已经有喜欢的女孩子了啊，如果拥有这样的力量，就不能好好欣赏她了。,,,,,10
106,102001000,3,我很喜欢读异种族之间的恋爱小说，人类会对介意异种族间的恋情么？,至少我不会。,或许会有一点。,嗯……这样啊……那么下一个问题是，你会介意人类与蛇发女妖之间的恋情么……,啊……但这样好像反而让我对这种禁断之恋更憧憬了呢……,,,,,10
107,102001000,1,最近人类之间流行什么？如果我也开始追随潮流，人类会更接受我吗？,我想应该会的！,你已经很个性啦！,是么？！那么我想知道，这个时代年轻的人类女孩子喜欢穿什么样的时装？,啊……你这么说我还挺不好意思的！看来内在和性格才是最大的魅力吗……,,,,,10
108,102033000,1,相比于白昼，我更中意在夜幕降临后出来散散心，感受世界的宁静……,我挺喜欢夜生活。,我还是习惯白天。,今晚有兴趣陪我聊聊么？或许克里特岛的葡萄酒可以让我们享受一个美妙的夜晚。,人类于黑暗中诞生，却向往光明，这实在是一件有趣的事情……,,,,,10
109,102033000,2,我曾为失去强大神力而感到无奈，但这也是黑暗多变而无法预测的本质吧。,这或许也是命运。,我始终与你同在。,是啊，或许命运也希望我不要过多干涉这个世界的纷争……,啊啦……至今还没有人类对我说过这句话，但若你愿意，我很期待和你共度的时光。,,,,,10
110,102021000,1,作为众神的信使与彩虹的化身，如闪电般的过人速度是我最自豪的优点。,的确，兵贵神速。,总感觉会撞上啥。,就是说嘛！虽然我的战斗力并非最强，但战争最重要的可是侦察和通信呐！,不会发生这种事的！如果不信的话我可以抱着你一块飞，让你亲眼见识一下！,,,,,10
111,102021000,3,我正在研究一种能够将绘画变为现实的魔法！你觉得怎么样？,我觉得挺难……,这实在太酷了！,下次我来画一张你的写生！这样我们的战斗力就可以增加一倍啦！,有兴趣学吗？！我也可以教你哟！不过我得先确认你的绘画技巧不会太糟……,,,,,10
112,102027000,1,琵琶是一种优雅的东方乐器，它总能让人们得到心神上的安宁……,您能教我演奏吗？,您想演奏一曲吗？,等这场灾难结束后，我很乐意在余下的时光中和你研究琵琶与乐理。,乐器的演奏需要宁静的心与优雅的氛围，如果你想听的话，晚上来我的房间好了……,,,,,10
113,102027000,4,战争带来痛苦，即使神明拥有永恒的生命，在末日中也只剩下空虚而已。,我会终结战乱。,您不应该迷茫。,如果是由你来统领众神，平息战争的话，这一天或许能尽早到来……,你说得对，消沉只会埋没希望和决心，与其叹息，不如向这末日的命运抗争。,,,,,10
114,102010000,3,啊啦……有兴趣和可爱又迷人的魅魔偶像签个新契约吗？,昨天不刚签过吗？,总感觉有阴谋……,啊……作为地狱的头号偶像和路西法的首席先锋，莉莉丝最近的业绩又不够啦！,别多疑啦！如果你愿意签的话，莉莉丝很乐意给你开一场单独的演出喔！,,,,,10
115,102010000,3,啊啦……有兴趣和可爱又迷人的魅魔偶像签个新契约吗？,昨天不刚签过吗？,总感觉有阴谋……,啊……作为地狱的头号偶像和路西法的首席先锋，莉莉丝最近的业绩又不够啦！,别多疑啦！如果你愿意签的话，莉莉丝很乐意给你开一场单独的演出喔！,,,,,10
116,102007000,1,喜欢我的熊吗？你怎么看待熊这种动物？,很勇猛！,很可爱！,大自然的力量总是值得信任和依靠的，在战场上她可比我更能打呢！,啊啦……在战场上，不少敌人在被她拍晕前也是这么说的呢！,,,,,10
117,102007000,1,喜欢我的熊吗？你怎么看待熊这种动物？,很勇猛！,很可爱！,大自然的力量总是值得信任和依靠的，在战场上她可比我更能打呢！,啊啦……在战场上，不少敌人在被她拍晕前也是这么说的呢！,,,,,10
118,101001000,5,我将来能成为一个拯救世界的英雄吗？,一定能！,这个嘛……,哼哼……看看这逐渐觉醒的力量，我迟早会成为同伴们认可的领袖！,怎么感觉你对我没什么信心，要我给你一拳证明一下吗？！,,,,5:1000038:1,0
119,101001000,5,唉……神明之间打了几千年的战争，究竟有意义吗？,当然有。,挺无聊的……,看来神与人确实没什么差别，英雄也会为贯彻正确的理念而战斗的。,我也这么想，有时间天天打架，不如坐下来喝杯红茶，玩一局扑克。,,,,5:1000038:1,0
120,101001000,3,那个……如果我和巴里一样……穿巫女服……你觉得会是什么感觉？,应该会很可爱！,应该会很帅气！,你在说什么呢！等……等等！你在看哪里？！我要生气了！！,我也这么觉得！巫女服可是正义与高雅的象征呐！,,,,5:1000038:1,0
121,101001000,1,你喜欢打棒球么？有没有兴趣和我较量较量？,随时奉陪！,你好像很有自信。,哼！等解决眼下魔物的麻烦后，我很期待和你在球场上过几招！,至少击打方面你肯定没我强，教室碎掉的窗户可都是我本垒打的杰作呐！,,,,5:1000038:1,0
122,101001000,2,面对强大的魔物有时候也不得不使用弓箭去作战呐……怎样才能射得更准呢？,减掉多余的脂肪？,戴副不错的眼镜？,你……你为什么盯着我的胸部看？！这可没影响我拉弓！,哼！我眼神可一点也不差，至少十米内用小刀丢中苹果不成问题！,,,,5:1000038:1,0
123,101001000,3,我很怀念在太阳炽热的夏天，痛快地打一场沙滩排球的日子。,期待你的比赛！,期待你的泳装！,嗯！青春可是得在赛场和沙滩上挥霍才有价值呢！,你这话真是直接……嘛，虽然我对自己的身材很有自信就是了……,,,,5:1000038:1,0
124,102034000,2,死亡并不是谢幕，只是一次新的开始……你觉得呢？,或许吧……,我不这么认为。,没必要怀疑，每个从世上离去的人，总会以另一种方式再次相遇的。,呵呵……等你离开这个世界的时候，或许你会理解吧……,,,,,10
125,102034000,2,如果可以选择，你是想要永恒的生命，还是快乐的人生？,永恒的生命……,快乐的人生！,这也是我曾经的选择，但在见证无数离别后，我剩下的却只有孤独……,有趣的回答呢，作为人类，如烟花一般的生命，短暂而灿烂。,,,,,10
126,102013000,2,你怎么看待英雄们背负的沉重命运？,欣然接受。,努力抗争。,哟，感觉你我有那么点相似呢，难道你在我命运中也有一丝羁绊？,哼……观赏人类在不可改变的命运前无奈挣扎，倒也是种乐趣呢……,,,,,10
127,102013000,5,哼哼……猜猜看你今天的运气如何？,好运？！,厄运……？,嘻嘻……和我这个掌管厄运的少女呆在一块，至少能保护你不倒霉吧。,嘻嘻……如果你吃完香蕉不乱丢香蕉皮的话，应该能躲掉一劫……,,,,,10
128,102013000,5,有喜欢的女孩子么？要不要本天才预言家帮你占卜一下和她的关系？,有啊！,暂时没有……,让我来看看你喜欢的人是谁……什……什么呀！你真是个大胆的人呢！,啊，命运告诉我，你会喜欢上长着猫耳，爱睡懒觉的可爱女孩子呢……,,,,,10
129,102013000,2,嘛……我已习惯因为不断预言灾厄，而被冷眼相看的命运了。,需要一个拥抱吗？,英雄总是孤独的。,我可没这么软弱！但……但你想安慰我的话，就破例让你抱一下好了！,哟……难得你能说出这么有艺术感的话呢，真是让我惊讶……,,,,,10
130,102011000,3,啊啦……今天天气不错呢，有兴趣和我一块晒晒太阳吗？,好啊！,我……不大习惯。,我知道一个晒太阳的好地方！不过我得先问问，你……有恐高症吗？,多晒几次就习惯啦！不想拥有一身小麦色的健康肌肤吗？,,,,,10
131,102011000,3,嗯……？我好像感受到了一阵炽热的目光在我身上游走呢……,啊，抱歉……,你确实很有魅力。,啊啦，别这么害羞嘛……欣赏埃及女孩子的美妙身姿可是一种享受呢！,真的？！努特自己也这么认为！作为回报给你一个kiss吧！Chu！,,,,,10
132,102011000,1,干涸的沙漠偶尔下一场倾盆大雨，真是让人感到舒畅！,的确如此！,打伞有些麻烦……,我的“沙漠”今晚也渴求一场温柔的雨滋润呢……所以……今晚你有空吗？,打伞可太没情调了！你不觉得雨中浑身湿透的女孩子是一种美吗？,,,,,10
133,102026000,2,（宁静）艺术之美，在于欣赏它的人是谁，你不这么认为吗？,我完全理解。,我不太懂艺术。,千金易得，知己难求，或许我的艺术就是为你而存在的也说不定……,若你愿一直陪伴我的话，你迟早会懂的……,,,,,10
134,102026000,2,（宁静）这个世界是最美的艺术品，愿它不要因战争而毁灭……,战争也是种艺术,希望如你所愿,或许是吧，阴阳万变，没有战争的残酷，何来和平的美好呢……,等这场灾难结束后，我会和你一起去世界各地，好好修复这件艺术品。,,,,,10
135,102026000,2,（宁静）天地不仁，以万物为刍狗，你认同这句话的理念吗？,我想是的。,我不这么认为。,有时我感叹天地的无情，但这也是大自然的规则，难以违抗……,虽然我并不想这么说，但没有力量的善良，或许只是软弱而已。,,,,,10
136,102026000,2,（宁静）你怎么看待我的音乐……以及我的性格？,优雅、宁静……,热烈、奔放！,看来我们确实心有灵犀，我一直希望自己能够如大地般温柔。,看来你能看到我内心中对艺术的那份热忱，很少有人会这样理解我。,,,,,10
137,102038000,1,你对射箭感兴趣吗？,我很擅长！,似乎挺难的……,是吗？那作为整个大和神系最强射手的我，就更有和你一较高下的价值了！,掌握技巧之后还是很简单的，如果你有兴趣的话，我可以亲自教你哦！,,,,,10
138,102038000,5,你们这个时代真是够神秘的！我刚刚看见街边店铺的一个盒子里有人在说话！,你……是说电视？,呃……然后呢？,那玩意叫“电视”么？到底是什么魔法可以做到把人关进盒子里的……,我以为是魔物，就一箭把它射爆了……你为什么看着我笑！我是不是做了什么蠢事？,,,,,10
139,102038000,3,你晚上有空吗？有没有兴趣陪我去看一场烟火大会？,我当然有空！,最近有点忙呢……,那真是太让人期待了！晚上见！对了，要我帮你准备浴衣吗？！,哼哼……是要去和别的女孩子约会么？你的脸很红呢……,,,,,10
140,102038000,1,快来看！我捡到了好玩的东西！只要按这个按钮，就能记录下眼前的风景呢！,这不是照相机吗？,（按下按钮）,原来这东西叫照相机啊……在绘画和记录方面，这东西可比魔法好用多啦！,你怎么忽然对着我……这太突然了！等……等等！我需要换一件漂亮些的和服！,,,,,10
141,102022000,2,每个人都渴望预知自己的命运，然而他们有勇气去面对命运的残酷吗？,至少我有勇气。,我也不知道……,真的吗？但可惜的是你并非凡人或是普通的神明，即使是我也预测不出你的将来。,其实不管是凡人还是神明，知道自己的命运未必是一件好事。,,,,,10
142,102022000,2,身为命运女神，我却无法记起自己的过去，也无法知晓自己的身份……,你或许来自北欧……,你或许来自希腊……,你指的是北欧的诺伦三姐妹吗？有可能，我感到身体里有她们的灵魂碎片存在……,希腊的摩伊拉三姐妹？或许吧……我感到有时在梦境里她们会出现……,,,,,10
143,102008000,2,你喜欢喝茶么？我很怀念世界末日没有到来前，每天平静的下午茶时刻……,挺喜欢的！,不是很喜欢……,这场灾难结束之后，我很希望能有机会，和你一起享受茶和点心的午后……,看来相比于安宁的和平时期，你或许更适合这个战争四起的冒险年代……,,,,,10
144,102008000,2,你喜欢喝茶么？我很怀念世界末日没有到来前，每天平静的下午茶时刻……,挺喜欢的！,不是很喜欢……,这场灾难结束之后，我很希望能有机会，和你一起享受茶和点心的午后……,看来相比于安宁的和平时期，你或许更适合这个战争四起的冒险年代……,,,,,10
145,102046000,2,即使我曾是大和神系的最强神明之一，也会失去神力，这实在令人遗憾……,需要我的帮助么？,这是一种命运。,从古至今，凡人大多只会向我寻求帮助，我也从未想过会有需要凡人帮助的一天……,啊啦……是吗？那么你的命运就是负责和我一起找回我失去的神力。,,,,,10
146,102046000,2,人是什么，神又是什么，讨论这些无聊的称谓真的有意义吗？,我认为有意义。,的确没意义……,真的？我倒觉得这些所谓的称呼和身份，除了引发神系战争外，没起到什么作用……,就是，有讨论这些的时间不如做一些有意义的事，例如……和中意之人来一场约会？,,,,,10
147,102046000,5,其实，国家、王位、神权，这些在如今的我看来，早已一文不值了……,为什么这么说？,我也这么认为。,因为最终这些世俗的东西都将迎来死亡，黄泉之国是唯一永恒的归宿。,喔？那么如果有一天，我希望你为了我放弃凡尘的一切，你会作何选择呢？,,,,,10
148,102046000,1,你觉得……这个世界上最有价值的东西是什么？,嗯……力量？,我想应该是爱？,你或许没说错，我很中意强者，尤其是比我更强、让我能有安全感的家伙……,爱是大多数人随口说说的浪漫谎言罢了，但你却让我感受到了一种不曾有过的温暖。,,,,,10
149,102054000,3,你喜欢什么类型的女孩子？,让我想想……,嗯，温柔可爱型？,喔哟……需要考虑这么久吗？还是说……我在你的眼中还不够有魅力？,哎呀呀呀……你是在说我吗？虽然我喜欢直白的人，但太直白就不够浪漫了呢！,,,,,10
150,102054000,5,你为什么最近和我聊天的时候总是走神？有什么心事吗？,没……没有……,其实是有的……,是吗？让我来猜猜看吧，嗯……你得了一种名为“爱情”的病，已经无药可救啦！,那……那个……难不成你在想喜欢的女孩子？,,,,,10
151,102054000,1,你喜欢小动物吗？小狗和小猫你更喜欢哪类？,嗯，我更喜欢猫。,嗯……我是狗派。,我原以为你对狗狗更感兴趣呢！我也很喜欢猫，只是拿它们多变的性格有些没辙……,是吗？！我尤其喜欢柴犬呢！温驯、聪明、活泼，和它在一起你心情总会变得很棒！,,,,,10
152,102054000,1,同样作为掌管爱情、姻缘的神明，你觉得我和丘比特谁更优秀？,我想应该是你。,你们都挺不错……,哼哼！我想也是！丘比特在对待人和人的缘分上太随性啦！恋情可不能开玩笑！,哎呀呀呀……没想到你挺温柔的嘛，即使你认为丘比特更优秀，我也不会生气的喔！,,,,,10
153,102054000,2,战争也是缘分呢，命运没有交错的两个对手，是不会站在同一个战场上的。,你不讨厌战争吗？,总感觉很复杂……,并不，我见过很多在战场上的对决，也见过这些对决过后诞生的恋情……,哼哼，我看见你与女孩子们羁绊的丝线……复杂得都快成一张网了……哎呀呀呀……,,,,,10
154,102023000,2,即使想尽可能修复战争给大地带来的破坏，但失去神力的我终究难以做到。,我将全力帮助你。,时间会治愈一切。,这可是趟不短的旅程，不过我很乐意有你的陪伴。,你说得没错，对于大地而言，无论多重的伤，都会随着时间的流转慢慢愈合。,,,,,10
155,102023000,2,即使想尽可能修复战争给大地带来的破坏，但失去神力的我终究难以做到。,我将全力帮助你。,时间会治愈一切。,这可是趟不短的旅程，不过我很乐意有你的陪伴。,你说得没错，对于大地而言，无论多重的伤，都会随着时间的流转慢慢愈合。,,,,,10
156,102037000,1,果然还是晴天最棒了！在万里无云的晴空下晒太阳实在是很舒畅的事情。,看来你心情不错。,不会觉得热吗？,是啊，和自己中意的人一块享受午后的阳光，还有比这更让人更期待的吗？,啊啦……你的意思难道是……希望我在晒太阳时穿得更“凉爽”些？,,,,,10
157,102037000,1,埃及很多寺庙里面都养猫，不仅是因为猫可爱，同时也是一种神圣的象征。,我也很喜欢猫！,神圣的象征？,哼哼，等这次战争结束后，我们一起去开一家猫主题咖啡厅怎么样？,是啊，在埃及的一些传说中，猫是神明的使者，不少还能变成可爱的女孩子呢！,,,,,10
158,102037000,2,不管什么时代，追随光明与正义的人，都会是最终的胜利者！,你在自言自语啥？,（继续偷窥）,啊！你什么时候在那儿的！我……我只是在练习演话剧要背的台词而已！,啊啦……这台词真是太帅啦！很适合在击败魔物首领之后作为胜利者大声喊出来呢！,,,,,10
159,102037000,3,你觉得我和天空之神努特谁更有魅力？,必然是你啦！,真是难判断呐……,哼哼，努特在埃及众神中无论是神能还是魅力确实都很优秀，但我还是略胜一筹呢！,啊啦……难得看到你这么犹豫呢！要不要今天晚上来我房间，让我告诉你正确答案？,,,,,10
160,102037000,4,即便是太阳，也有落下地平线的时刻，即便是神明，也有离开世界的那一天。,很少见你失落……,需要一个拥抱么？,作为埃及的主神不应在同伴面前表现出任何软弱，我也只能和你感叹命运的残酷了。,嗯……偶尔在日落时分和你静静地拥抱一会，也是一种难得的安慰……,,,,,10
161,102037000,1,你喜欢埃及风格的服饰吗？,非常喜欢！,嗯，你猜猜看？,是吗？的确，这种风格相对于其他服装，更容易展现出女孩子的肌肤和身材呢……,啊啦……我可猜不出来，不过每次从你身边经过时，你火热的眼神可不会说谎喔……,,,,,10
162,102029000,2,正义或邪恶只是一种说辞而已，决定世界的始终是力量的强弱罢了。,你说得没错。,我并不认同。,其实……我还挺认同你当我的指挥官，至少你是一个足够强的统帅！,其他人这么回答的话，我肯定会把他揍飞，但至少你用行动证明了你对正义的坚持。,,,,,10
163,102029000,2,正义或邪恶只是一种说辞而已，决定世界的始终是力量的强弱罢了。,你说得没错。,我并不认同。,其实……我还挺认同你当我的指挥官，至少你是一个足够强的统帅！,其他人这么回答的话，我肯定会把他揍飞，但至少你用行动证明了你对正义的坚持。,,,,,10
164,102003000,2,无论世界遭遇了什么样的灾难，都不应放弃自己追求正义与光明的信念！,我从未动摇！,这并不容易做到。,这正是作为众神统帅所需要的优秀素质！作为你的同伴，我以你为荣。,没有必要质疑自己，即使你真的坠入深渊，我也始终与你同在。,,,,,10
165,102003000,2,我从不主张以战争的方式解决问题，但我也从不畏惧以战争的方式结束争端！,听上去挺矛盾……,仁慈并非软弱。,并非如此，没有力量的正义是无法对抗黑暗的，宽容也不意味着没有原则的纵容。,作为一个凡人，你能意识到这个道理我还是挺意外的，你的智慧值得欣赏。,,,,,10
166,102003000,5,我一直在想，为了战胜更强大的敌人，与恶魔合作究竟是否是正确的行为。,我认为没问题。,我会谨慎再三！,我在战场上曾和路西法有过接触，她的行为虽然没有正义可言，但意外地挺讲原则。,你说得没错，至少米迦勒、拉斐尔和加百列不会那么轻易地同意这件事。,,,,,10
167,102028000,3,和你相遇也有一段时间了，作为你的导师，见证你的成长也算是一种欣慰吧。,感谢你的陪伴。,你其实挺严格……,呵呵……至少我们在一起的这段时间，比我过去独自一人时有趣得多。,那当然，我可不希望在战场上看见你像个菜鸟一样，被敌人打飞几十米……,,,,,10
168,102028000,1,你问我为什么白天也一直提着灯笼？看来你不大了解我身为巫女的职责……,身为巫女的职责？,这个灯笼很特殊？,掌管生与死的巫女除了引导生灵之外，也需要照亮亡者们的道路喔。,这盏灯笼照亮的是冥界之路，我们能避掉很多魔物，少惹很多麻烦可都是拜它所赐。,,,,,10
169,102028000,2,不管你的命运最终走上了怎样的道路，我都希望你不会犹豫自己的选择。,我一定不会犹豫！,犹豫会怎样？,喔？不管是否能做到，至少你现在的气势还挺足，我打赌你至少能坚持……一个月？,犹豫就会败北，这话出自一名传说中的日本剑客，嘛……我猜你说不定也听过……,,,,,10
170,102028000,1,其实我有时候也会想，我应该以什么样的身份来面对你……,同伴？或是师徒？,你觉得呢？,啊啦……真是让我有一点点小失落呢，我原以为你会给我个更大胆些的答案……,啊啦……如果直接告诉你就太没情调和气氛了，今晚来我的房间再告诉你怎么样？,,,,,10
171,102009000,2,大地是生命的源泉，即使我失去了大部分神力，大地也会重新赐予我力量。,希望如此……,想取回神力吗？,时间是治愈大地最好的良药，我只希望这场战争能够尽快结束。,其实无所谓，大地总会将从我这里取走的东西，馈赠给更适合的人。,,,,,10
172,102009000,2,其实，我当初并不赞成天空之神努特参与这场末日之战……,为什么？,但她实力很强。,她的性格大多数时候过于随性，在埃及她惹的麻烦比她解决的还多……,她实力确实不错，但作为统帅，你很快就会认识到，她不大理解什么叫做命令……,,,,,10
173,102035000,2,王者始终是孤独的，这是我统治北欧众神这么长时间后，唯一真正的感受。,我并不在意孤独。,王者并不孤独。,你还是太年轻了，当成为众神都认同的主宰者时，你才真正算理解孤独的意义。,有趣，我见过无数的王者，还从没有人这样说过，你确实是一名独特的统帅。,,,,,10
174,102035000,2,保护好世界树是北欧统治者义不容辞的责任，然而这并不是一件容易的事情。,世界树是什么？,我会全力帮助您。,它是这个北欧的支柱，作为曾经的王者，我很怀念站在树顶俯视一切的感觉……,很少有人类会给我这么坚定的回答，或许你真的能成为众神的领袖。,,,,,10
175,102035000,2,我曾经在诸神的黄昏那场末日中战败，但我希望这种事不会再次发生。,我将承担此责！,我会尽力而为！,哼……其他人说出这样的话，我只会认为他是个愚者，但我认同你的能力和智慧。,这是一场要拼上性命的赌局，但我相信有你在的话，没有什么敌人能让我们畏惧。,,,,,10
176,102035000,2,智慧是胜利的保障，战争需要无人能敌的勇者，也需要聪明过人的军师。,智者难成……,希望您多指引我！,我曾为了获得智慧而甘愿付出一只眼睛的代价，但我明白智者将永远立于不败之地。,我曾经是众神的统治者，但你才是众神的将来，我希望你能替我执掌这份荣耀。,,,,,10
177,102035000,1,说实话，我在其他神明的眼中，曾经只是个不懂风情而冷漠的统治者罢了……,其实并非如此。,至少我很欣赏您！,看来时代变了，如今我作为众神的同伴，确实比作为众神的统帅更容易亲近他人。,真的？看来有人值得让我花上一晚的时间，和一瓶上等的蜂蜜酒好好招待了。,,,,,10
178,102004000,5,我所唱歌曲的魅力，真的强大到让人投海自尽吗……,至少传说如此……,其实我想听听看！,这可真让人苦恼呢！我的理想可是当一名偶像啊！,真的吗？！为了防止意外，要不要我先找根绳子把你困在桅杆上？,,,,,10
179,102004000,1,我很想去看看陆地上的景色，听说陆地上有美丽的草原，雄伟的山峰……,现在恐怕不行……,我以为你能上岸。,是啊，末日还没结束，我可不想去看喷发的火山和满是尘埃的废墟。,我当然能够上岸，前提是你抱得动我的话，嘻嘻……,,,,,10
180,102004000,2,听说波塞冬大人苏醒在这个世界时，丢失了大部分的神力，这是真的吗？,的确如此。,你想恶作剧啦？,原来真的是这样啊！这实在是令人兴奋……啊不不不！令人遗憾的事情呢……,噗哧！怎么会呢？我只是想看看，曾经威严无比的海皇大人如今的尊容而已……,,,,,10
181,102012000,2,我并不会对大地在战争中所受的灾难感到悲伤，这只是一场必要的考验而已。,命运的考验吗？,您会有畏惧吗？,万事万物都遵循自然的规则，命运没有必要回避，磨难会让大地变得更坚实。,并不会，万物生生不息、循环往复，即便一时沉寂，也终会在大地的怀抱中重生。,,,,,10
182,102012000,3,和你相处的这段时间里，相对于同伴的关系，我感觉自己更像是你的长辈。,我也有同感。,我没什么感觉……,所以不管遇到任何麻烦，请一定要告诉我，至少我应当和你共同面对。,嗯……看来在你的眼里，我比想象中要年轻很多呢……,,,,,10
183,102012000,2,作为一个凡人，你却要背负解决这场灾难的重任，命运对你未免太苛刻了……,我早已无所畏惧！,同伴会给我勇气。,你有着和我一样坚强的意志和灵魂，希望众神能在你的统率下度过这场浩劫…… ,的确，即使一个人拥有再强的力量，也未必有众多可以信赖的同伴可靠。,,,,,10
184,102012000,1,你喜欢花草还是树木？每次作战结束后，我总会在战场上种下各种植物。,我挺喜欢花草。,我更偏好树木。,即使是最朴素的花朵也能用它独特的芬芳，驱散战争的阴云。,树木是万象复苏的征兆，即使没有花草的艳丽，但却能缓慢治愈大地的伤痕。,,,,,10
185,102012000,2,在被召唤到这个世界时，我丢失了绝大部分神力，这不得不说是一种遗憾……,您想找回神力吗？,您需要重新振作。,当然，如果让我恢复到神力的鼎盛时期，终结这场世界末日……恐怕只需要几天。,安心吧，我并不会因此而消沉，在见证你的成长后，我已经看见了新的希望。 ,,,,,10
186,102018000,5,弥诺陶洛斯的迷宫……真的这么容易走出来吗？,太轻松啦。,其实挺难……,啊啦……真的吗？！我明天就把你丢进迷宫中心，看看是不是这样。,其实，如果你有兽人强大的力量，见墙就拆，迟早你能出去。,,,,,10
187,102018000,5,弥诺陶洛斯的迷宫……真的这么容易走出来吗？,太轻松啦。,其实挺难……,啊啦……真的吗？！我明天就把你丢进迷宫中心，看看是不是这样。,其实，如果你有兽人强大的力量，见墙就拆，迟早你能出去。,,,,,10
188,102017000,2,为了贯彻自己的理念而选择壮烈牺牲，你认为这值得吗？,是的！,我不确定……,很少有人类会给我这么坚定的回答，或许你真的能成为众神的领袖。,去寻找值得为之牺牲的理念吧，无论你迷惘或恐惧，我始终会守护你。,,,,,10
189,102017000,2,为了贯彻自己的理念而选择壮烈牺牲，你认为这值得吗？,是的！,我不确定……,很少有人类会给我这么坚定的回答，或许你真的能成为众神的领袖。,去寻找值得为之牺牲的理念吧，无论你迷惘或恐惧，我始终会守护你。,,,,,10
190,102036000,2,喂，你认为把现实世界和梦境合二为一的想法如何？,挺新颖的！,太危险了！,呵呵……永远沉浸在梦中，梦就是真实，还有比这更美妙的事吗……,哼，真是个没情调的家伙，至少我也算是个有梦想的人啊。,,,,,10
191,102036000,2,你觉得……我能成为同伴们可以依赖的强者么？,除非你正视现实。,至少在梦里可以。,对我来说这真是不容易的事情呢……不过有你在，或许我也能有所改变。,看来为了达成这个心愿，只好让全世界的人永远都醒不过来了。,,,,,10
192,102036000,2,如果为了变强而不择手段，你认为是值得的吗？,并不值得,或许是的,嗯？是么？但只有强者能够掌控自己和世界的命运，这难道不对吗？,世间本无善恶之分，善良或许也只是强者所定义的呢……,,,,,10
193,102006000,1,如果你有了读心的能力，会想去偷偷阅读中意之人的思绪吗？,应该不会。,大概会吧……,说的也是，靠这种能力得到的感情，又有什么意义呢？,是个诚实而可爱的家伙呢！那么老实告诉我……你现在在想什么？,,,,,10
194,102006000,1,如果你有了读心的能力，会想去偷偷阅读中意之人的思绪吗？,应该不会。,大概会吧……,说的也是，靠这种能力得到的感情，又有什么意义呢？,是个诚实而可爱的家伙呢！那么老实告诉我……你现在在想什么？,,,,,10
195,102040000,2,真是有够无聊的！来打一架练练手吧！,随时恭候！,好像有人叫我！,哼哼！可别以为我还会像上次那样输给你！接招吧！,喂！你这个借口已经用了三次了！啊……算了，我还是去打木桩吧……,,,,,10
196,102040000,1,火焰……你怎么看待这种美丽而危险的东西？,文明的象征,战争的开始,的确如此，智慧始于火种，文明也是靠这小小的火苗而兴盛的。,或许吧，火焰带来了智慧，却也点燃了王国的争端和掠夺的欲望……,,,,,10
197,102040000,4,和人类讲道理真是麻烦！难道有什么事情不能打一架能解决吗？,有时的确如此。,武力并非万能。,就是嘛！解决麻烦的家伙只需要一拳，如果不够……呃……那就两拳！,我天生就不是个擅长讲道理的人，不过你每次总有办法让我冷静下来。,,,,,10
198,102040000,3,喜欢吃辣的食物吗？,喜欢！,有些受不了……,没什么比上战场前，来一大碗满是辣椒和烤肉的炒饭更给力的了！,嗯哼……然而喜欢火辣的女孩子总是受欢迎喔！不管是性格，还是身材……,,,,,10
199,102005000,1,呐，你觉得这身木乃伊风格的装束如何？,很有个性！,缠绷带很麻烦……,你很有眼光呢！要不要来我的房间……让我教教你怎样穿……？,缠的时候是挺麻烦的，不过脱下来却很方便呢！想试试看吗？,,,,,10
200,102005000,1,呐，你觉得这身木乃伊风格的装束如何？,很有个性！,缠绷带很麻烦……,你很有眼光呢！要不要来我的房间……让我教教你怎样穿……？,缠的时候是挺麻烦的，不过脱下来却很方便呢！想试试看吗？,,,,,10
201,102015000,1,你会像众神一样，期待拥有永恒的青春吗？,会！,没兴趣……,青春是无价的财富呢，无论外貌、活力还是激情，都伴随着青春才有意义！,不会吧？！我还从来没有见过一个凡人不渴求青春永驻的呢！,,,,,10
202,102015000,5,你觉得金苹果这件宝物……真的会引发神明间的战争吗？,至少在希腊会。,应该不会吧。,哈哈，我听说女神雅典娜、赫拉和阿芙罗狄忒她们为此打得不可开交呢！,你觉得不会？！来打个赌吧？我想到一个好玩的恶作剧，嘻嘻……,,,,,10
203,102015000,2,如果我是凡人，容颜终将随时光一并流逝，还能够拥有爱情么？,至少在我这里能。,不好说……,你……没骗我吧？如果骗我的话，我一辈子都不会放过你的！,说得也是呢 ……凡人们的爱情，很多时候都会随着青春的逝去而消散吧。,,,,,10
